ORF	WT1A	WT1B	WT2A	WT2B	HS1A	HS1B
NCU00003	12.1	12.8	24.9	27.7	32.6	29.2
NCU00004	33.8	29.9	45.2	50.1	63.9	80.5
NCU00005	5.4	5.8	5.1	5	4.2	4.9
NCU00006	18.5	20.3	18.5	21.8	23.5	27
NCU00007	9.7	11.7	11.5	10.4	10.2	10.1
NCU00008	47.4	40.6	35.7	33.5	30.8	43.7
NCU00009	0.9	5.3	0	0	0	0.9
NCU00010	31.6	33.9	38	38.6	30.8	44
NCU00011	0.8	1.6	0	0	0.8	0
NCU00013	0	0	0	0	0	0
NCU00014	17.2	20.3	30.1	26.5	27.3	19.9
NCU00015	12	14.8	23.2	24.2	15	19.1
NCU00017	2	1.7	1	0.5	1.9	0.4
NCU00018	404.4	401.4	488.1	458.4	520.1	390.1
NCU00019	11.2	10.2	13.2	10.8	16	12.3
NCU00021	99.1	99.7	84.1	64.3	140.5	125.7
NCU00022	4.4	3.5	5.3	4.1	7.5	3.3
NCU00023	33	35.2	58.9	65.2	67.8	58.7
NCU00024	66	61.5	60.8	56	81	49.4
NCU00025	61.5	62.7	68.2	69	38.1	61.9
NCU00026	39.9	37.9	36.8	36	32.4	30.8
NCU00027	17.7	18.7	20.1	11	16.9	15.7
NCU00028	94.5	81.1	67.6	54.8	45.2	22.2
NCU00029	28.1	33.1	16.8	16.4	13.8	16.4
NCU00030	32.8	31.1	43	40.8	35.1	39.3
NCU00031	2.2	1.6	1.9	4.6	4.2	1.1
NCU00032	31	29	23.4	30.7	30.1	30.9
NCU00033	4.2	4	8.1	8.2	4.1	5.7
NCU00034	11.8	15.2	9.8	9.6	6.8	10
NCU00035	28.1	26.7	26.7	26	15.7	26.5
NCU00037	16.9	17.6	15.2	14.7	17.4	10.1
NCU00038	4.2	6.3	3.1	4.2	7.1	5.8
NCU00039	0.6	0.1	0	0.3	0	0
NCU00040	287.5	280.6	296.9	277.2	390.1	343.8
NCU00041	238.5	267.3	289.7	297.7	254.7	303.5
NCU00042	28.4	26.4	38.3	40.4	38.9	23.1
NCU00043	261.1	264.2	332.6	300.3	366.7	282.1
NCU00045	10.1	11	11	12.3	17.3	12.3
NCU00046	28.6	27.7	66.7	69.5	83.9	78.8
NCU00047	1	0.2	0	0	0	0
NCU00048	0	0.6	0	0	1.5	0
NCU00050	180.3	193.8	179	169.4	142.8	170
NCU00051	40.5	38.1	39.6	43.7	28.2	36.4
NCU00052	0	0.4	0.3	0	0.1	0
NCU00054	0.3	0.5	0.1	0.3	0.4	0.3
NCU00055	0.6	0.3	0	0	0.6	0
NCU00056	5.7	4.5	4	5.8	5.5	4.4
NCU00057	31.8	34.4	39.2	37.4	30.3	46.8
NCU00059	5.5	7.5	4.9	7	10	12
NCU00060	8.8	12.5	25.9	17.7	20.7	10.7
NCU00061	0.5	0.4	0.6	0.8	0.5	0.3
NCU00064	90.3	91.2	69.8	64.9	103.1	65.2
NCU00065	12.8	13.7	15.9	16.5	26.9	19
NCU00066	23.5	21	24.9	26	25	20.3
NCU00067	145.2	130.7	148.1	143.8	108.4	107.9
NCU00068	39.7	39.5	38.6	33.4	73.6	34.1
NCU00069	4	1.5	3.1	3.5	15.6	0.6
NCU00070	8	9.8	8.6	10.4	7.6	13
NCU00071	0.5	0.2	0	0	0	0
NCU00072	70.1	67.8	70.7	64	46.6	66.5
NCU00073	74.1	73.2	84.2	67.3	103.5	95.9
NCU00074	44	37.2	118.4	79	84.9	58.2
NCU00075	123.3	116.1	145.2	131	120.4	143.7
NCU00076	9.9	8.2	6.1	8.3	10.6	7
NCU00077	10.3	11.3	10.4	9.9	10.6	11.4
NCU00078	67.9	66.7	91.2	98.1	80.2	184.1
NCU00079	4.8	5.4	16	17.3	34.5	45.6
NCU00080	129.5	127.3	37.2	40.1	69.7	39.8
NCU00081	3.3	3.2	1.6	1.6	3	1.5
NCU00082	0	0	0	0	0	0.5
NCU00083	53.7	53.5	50.2	41.9	98.2	63.9
NCU00084	1.1	2.2	1.6	2.5	1.6	0.6
NCU00085	5.8	6.2	5.6	6.3	5.6	5.1
NCU00086	0	0.3	0.3	0.2	0	0.6
NCU00087	120.1	105.6	153.3	117.3	134.3	130.4
NCU00088	107.7	115.7	69.7	67.6	119.1	59.7
NCU00089	28.3	26.2	34.3	41	40.3	52.5
NCU00090	76.9	79	150.7	167.3	178.7	177.6
NCU00091	9.4	9.9	7.9	7.2	7.4	5.9
NCU00092	11.7	12.8	11.9	4.2	13.8	8.1
NCU00093	0	0	0	0	0	0
NCU00095	33	34.8	29.4	28.2	29.7	27.2
NCU00096	0.4	0	0	0	0	0
NCU00097	5.6	4.8	6.6	6.9	8.2	10
NCU00099	1.4	0	0	1.2	0	1.5
NCU00100	5.9	7	7	4.7	6.6	3.6
NCU00101	47.8	44.3	45.5	37.5	50.8	42.5
NCU00102	244.5	247.4	47.3	44.7	25.8	5.4
NCU00103	37.1	37.7	54.1	41.7	32.5	48.2
NCU00104	107.3	110.5	61.9	47.3	61.5	44
NCU00105	37.1	35.7	57.7	47.4	55.5	77.1
NCU00106	111.4	106.1	69.4	73.9	36.2	57.7
NCU00107	25.2	23	25.9	21.5	17.7	23.3
NCU00108	26.7	25.9	33.3	25.8	48.1	26.6
NCU00109	32.9	33.1	26.9	26.9	34.4	14.5
NCU00110	9	9.2	9.6	8.8	8.6	8.4
NCU00111	68.7	75.3	38.1	31.2	30.6	17.3
NCU00112	56.8	56.1	63.3	57	111.4	57.5
NCU00114	44.4	49.4	70.5	79.6	54.1	83.8
NCU00115	17.4	21.7	24	14.3	21.3	10.2
NCU00116	92.6	92.7	103.9	82.7	116.2	100.4
NCU00117	21.1	22.3	22.8	23.4	33.3	25.3
NCU00118	0.7	1	0	0.2	1.3	0.1
NCU00119	10.1	10.9	8.4	6.5	8.5	7
NCU00120	2.6	2.7	3.4	3	3.9	3.2
NCU00121	22.5	20.1	23.1	36.5	26.6	35.8
NCU00122	106.8	99.6	76.9	72.5	106.7	43.3
NCU00123	0.9	0.5	0.4	0.8	1.7	0.5
NCU00124	24.6	24.9	15.1	14.5	23.6	13.3
NCU00125	4.8	5.4	4.6	6.9	4.7	4.7
NCU00126	11.2	13.4	28	31.8	34.5	45.9
NCU00127	105.4	111	75.8	110.3	114.7	96.5
NCU00128	0.3	0.5	0.3	0.6	0.5	0.5
NCU00129	0.7	0.6	0.9	0.7	1.1	0.7
NCU00130	4.4	6.7	8.5	10.2	10.8	6.2
NCU00132	36.8	35.4	23.6	20.1	38.2	14.3
NCU00133	66.7	65.7	72.6	70.3	62.3	60.3
NCU00134	33.4	33.9	32.5	32.6	48.4	51.1
NCU00135	30.7	32.5	30.8	26.7	24.2	24.3
NCU00136	8.7	10.5	9.6	8.6	12.3	12.6
NCU00137	113.3	117.3	158.2	145.7	103.3	153.5
NCU00138	0.8	0.7	15.4	18.9	17.7	24.2
NCU00142	14.8	17.3	24.1	21.1	34.3	20.3
NCU00143	0	0.2	0	0	0	0
NCU00144	41.5	43.1	51	57.2	44.9	28.3
NCU00145	31	31	54.6	49.6	46	29.3
NCU00146	32.9	30.9	44.2	43.1	24.2	39.6
NCU00147	262.6	249.9	376.4	361.2	303.4	309.7
NCU00148	27.1	22.8	33.4	33	79.6	37.2
NCU00149	9.7	3.2	3.9	1.9	33.6	2.3
NCU00150	81.9	79.4	71.1	64.2	104.9	68.1
NCU00151	7.3	5.4	4.8	2.5	8.3	3.6
NCU00152	34.2	34.6	56.9	45.9	73.5	49.5
NCU00153	12.1	14.5	21.1	15.5	18.4	21.9
NCU00154	26.8	25.1	20.8	21.8	29.8	14
NCU00155	12.1	12.3	22	22.2	32.9	17.9
NCU00157	62.3	57.2	59	49.4	80.6	43.8
NCU00158	9.3	9.5	11.5	11.4	12.7	10.4
NCU00159	8.4	8.8	6.7	6.1	8.2	4.1
NCU00160	293.9	310.6	441	362.6	296.4	212.4
NCU00161	11.3	11.7	5.4	6.4	8.2	8.6
NCU00162	36.8	41.5	47.5	41	30.6	34.7
NCU00163	17	18.9	17.3	16.8	11.1	10.8
NCU00164	5.2	6.3	6.7	6.4	6.4	6.3
NCU00166	8	4.2	9.4	9.3	15.2	5.9
NCU00167	16.9	16.8	30.8	33.7	35.7	31.7
NCU00168	51.5	53.1	76	84.5	59.3	77.8
NCU00169	63.9	64.8	63.6	66.6	45.8	71.6
NCU00170	56.3	58.5	47.7	38.6	58.8	42.9
NCU00171	26.5	25.9	27.4	32.1	24.6	22.7
NCU00172	19	19.6	21.7	23.2	24	18.4
NCU00173	46.9	41.6	55	48.7	60.9	35.6
NCU00175	139.9	142.8	10	15.5	13.7	15.9
NCU00176	2	1.1	0	0	1	0.5
NCU00177	201.1	202.4	198.8	180	423.2	246.8
NCU00178	6.9	8	9.6	4.7	11.8	7.8
NCU00179	0	0.3	0	0	0	0
NCU00180	0	0.5	0.4	0.2	0.1	0
NCU00181	14.2	13.8	11.8	12.1	14.6	14.8
NCU00182	65.5	65.7	52.7	53.3	31.7	58
NCU00183	15.2	17.8	7.2	8.6	9.6	8.4
NCU00184	10.8	14.7	12.9	8.9	12.5	10.2
NCU00185	0.2	0.1	0	0.2	0	0.3
NCU00186	3.7	3.5	0.7	0.9	0.3	0.6
NCU00187	38.4	39.6	23.1	22.1	2.9	6.9
NCU00188	23.1	20.1	21.8	18.7	48.8	21.3
NCU00189	1.2	1.1	0.5	0.5	1.2	2.5
NCU00192	0.7	0	0	0	0	0
NCU00193	23.5	23.2	19.7	13.8	14.6	10.6
NCU00194	185.7	181.8	220.5	191.7	169	214
NCU00195	12.8	12.7	15	14	16.3	8
NCU00196	20.4	23.4	22.3	18.4	27.3	22.2
NCU00197	0.7	0.2	0.6	0	0.6	0
NCU00198	231.9	221.1	214.9	201.9	161.1	156
NCU00199	28.7	29.8	30.5	27	33	26.4
NCU00200	95.2	100.7	76.7	78.2	226.8	113.6
NCU00201	0.1	0.4	0.1	0.4	0.3	0
NCU00202	108.2	108.9	171.6	156.9	126.4	141.5
NCU00203	14	14.2	6.7	11.5	11.5	8.5
NCU00204	12.8	19.4	12	12.9	16.3	21.8
NCU00205	3.6	3.9	5.2	5.2	7.1	5
NCU00206	0.2	0.2	0.6	0	0.5	0.4
NCU00207	18	17.8	19.2	17.5	11.4	16.8
NCU00208	0	0.2	0.5	0.3	0.4	0
NCU00209	32.6	33.2	39	39.2	47.2	43.6
NCU00210	67	73.2	77.1	77.3	82.3	90.9
NCU00211	88.8	87	105.7	82.8	69.2	76
NCU00212	1498.4	1672.4	2696	2408	2714.6	2119.4
NCU00213	8.7	6	6.9	5.3	9.1	5.8
NCU00214	32.1	32	35.3	28.6	25	32.9
NCU00215	21.9	22.5	11.2	20	7.4	3
NCU00216	154.7	169.8	143.2	155	70.2	128.5
NCU00218	7.5	9	7.7	4.7	7.3	6.9
NCU00219	20	19.1	20.8	20.6	22.7	21.6
NCU00220	9.1	11	13.6	11.7	13.2	10.1
NCU00221	0	0.2	0.1	0.1	0.1	0.3
NCU00222	35.1	35.4	32.5	37.5	37.7	33.4
NCU00223	61.6	62.7	56.3	58	69.7	56.2
NCU00224	0	0	0	0	0	0.9
NCU00225	938.9	919.9	980.3	840.9	903.3	764.1
NCU00226	26.4	21.9	13.5	18.6	12.8	19.4
NCU00227	23.2	25.6	17.3	18.9	31.9	33.5
NCU00229	0	0.4	0.5	0	0	0.6
NCU00230	42.3	44.3	42.4	50.2	50.8	44.7
NCU00231	0.2	0.3	0	0.3	0.2	0
NCU00232	10.5	11	8.6	10.5	14.1	12.6
NCU00233	0.6	0.2	0	0	0.3	0.3
NCU00234	11.1	9.9	7.8	12.6	8.8	9.4
NCU00236	9.3	10	13.1	18.3	14.1	21.3
NCU00237	6.1	6.7	4.9	6.2	8.4	6.2
NCU00238	0	0.1	0	0.1	0.2	0.2
NCU00239	14.8	13.7	17	15.5	18	18.2
NCU00240	13.6	15	15.5	18.5	15	17
NCU00241	17.3	18	15.4	19.3	13.8	12.6
NCU00242	11.3	14.1	20.8	21.1	24.6	18.4
NCU00243	216.6	185.9	270.8	218.7	272.6	183.1
NCU00244	10.8	8.7	9.5	7	7.6	3.8
NCU00245	1.4	1.9	0.6	0.9	0	0
NCU00246	0.9	1.2	0.4	0.4	0	0
NCU00247	5.1	8.6	2.9	1.6	2.5	0.7
NCU00248	37.4	37	24.8	26.1	9.8	17.2
NCU00249	17.9	16.6	23.5	28.9	13.1	35.3
NCU00250	0	1.5	0.7	2.1	0.8	4.3
NCU00251	0.2	0.4	3	3.4	2.3	1.5
NCU00252	0.7	0.2	0.8	0.8	0.2	0.7
NCU00253	35.5	29	49.4	40.9	26.7	25.6
NCU00254	0.8	0.3	0.7	0	0.7	0
NCU00257	8.6	8.1	5.1	5.5	7.2	6.8
NCU00258	1701.4	1824.2	1730.1	1412.5	1355.2	1617.9
NCU00259	26.5	31.6	26.6	11.2	13.7	9.7
NCU00260	124.1	119.4	16.8	11.1	15	4.2
NCU00261	103.8	104.2	134.5	125.4	164	210.3
NCU00262	0.7	0.4	0.9	1.9	1.4	1
NCU00263	28.4	28.9	132	133.3	241.2	166
NCU00264	59.7	62.5	66.4	49.6	67.4	38.1
NCU00265	11	14	5.9	8.5	5.5	1.9
NCU00267	0.5	1	1.7	0.8	5.8	5.4
NCU00268	7.1	7.3	16.3	16	23.5	14.9
NCU00269	15	13.9	18.5	21.8	28.1	21.2
NCU00270	25.2	25.6	32.5	28.4	31.4	45.6
NCU00271	0.6	0	0	0	0	0
NCU00272	24	24.5	25.8	31.4	37.1	24.2
NCU00273	27.9	25.5	28.5	26.3	27.2	27
NCU00274	5.6	5.1	4.9	5.1	5.3	5.2
NCU00275	9.1	7.9	8	6.1	7.4	6.1
NCU00276	2.3	2.1	1.3	1.3	2.2	1.2
NCU00277	14.8	14	18.4	23	23.6	26
NCU00278	39.8	40.6	44.4	42.4	43.2	38.6
NCU00279	5.5	4.5	6	3.6	3.5	5.3
NCU00280	9.9	11.6	12	18.2	16	14.8
NCU00281	4.7	3.7	3.1	3.5	3.8	2.1
NCU00282	2.3	2.3	2.8	3.7	3.6	8.6
NCU00283	2.6	2.2	1.6	1.9	3.6	2.5
NCU00284	0	0.3	0	0.3	1.8	0.4
NCU00285	5.3	7.7	0.7	0.9	0.3	0.2
NCU00287	20.2	21.7	12.9	13.2	13.5	17.6
NCU00288	1.3	0.5	0.4	0	0.4	0.9
NCU00289	16.5	16.2	13.7	13.5	12.4	8.4
NCU00290	0.4	0.2	1.2	0.8	0.6	2.2
NCU00291	10.8	13.6	24	24.3	20.7	24.6
NCU00292	0.3	0.2	0.2	0	0.1	0.4
NCU00293	8.2	10.5	9.1	10.2	11.1	5.2
NCU00294	2945.7	2935.5	2575	2179	2475.7	2276.9
NCU00295	81.3	79.4	62.5	60.1	58.4	52.7
NCU00296	0	0.2	0.2	0.2	0.4	0
NCU00297	1.6	0.3	0	0	0	0.8
NCU00298	3	1.6	6.3	3.7	7.7	7.8
NCU00299	4.3	5.4	3.9	4.3	4.6	2.5
NCU00300	9.8	9.9	8.8	10	10.4	11.5
NCU00301	19.5	18.6	18.6	14.4	25.1	22
NCU00302	21.1	20.3	20.7	23.9	22.4	25.2
NCU00303	36	35.9	24	23.2	29.4	17.7
NCU00304	72.8	70.3	98.8	96.3	103.8	64.2
NCU00305	2.4	2	1.2	2.3	1.5	0.8
NCU00306	30.1	28.3	9.8	12.3	7.5	16.6
NCU00307	0	0.3	0	0	0.7	0
NCU00308	2.2	2.4	2.9	2.6	1.8	4.2
NCU00309	63.6	59.3	152.9	155.2	178.9	174.5
NCU00310	1.6	1.4	2	1.7	2.7	1.6
NCU00311	66.2	63.3	117.5	111.6	122.4	120.8
NCU00312	0	1.2	1.9	0	1.1	1.1
NCU00313	0	0	0	0.6	0.5	0
NCU00314	0	0.2	0	0.2	0.3	0
NCU00315	4363.4	3877.9	2303.6	1976.6	2231.8	1913.5
NCU00316	11.1	13.4	17.3	20.1	17.6	15.3
NCU00317	1.9	1.9	3.9	4.5	4.6	5
NCU00318	0	0.1	0.2	0	0	0
NCU00319	4.6	3	3.8	4	7.8	6.1
NCU00320	14.9	14.7	17.1	16.2	24.1	14.3
NCU00321	25.2	23.2	35.9	37.4	53.1	25.2
NCU00322	157	156.4	211.2	196.2	167.1	257.3
NCU00324	11.2	13	16.4	15.5	19.3	15.8
NCU00325	14.9	14.5	13.6	10.8	16.6	11.1
NCU00326	111.7	107.2	54.4	48	50.3	37.1
NCU00327	0	0.2	0	0	0	0.5
NCU00329	2.2	3.1	0.1	0.9	0.3	0.3
NCU00330	1.9	1.6	1.6	3	2.1	1.9
NCU00331	1.2	1.5	0.5	2.2	1.6	2
NCU00332	50	44	11.9	18.6	8.9	10.2
NCU00333	12	8	7.8	8.9	3.8	6.8
NCU00334	28.6	23.2	35	26.9	21.5	24
NCU00335	24.2	25.7	40.4	36.2	32.9	28.2
NCU00336	15.4	14.9	16.4	11.2	18	22.4
NCU00337	11.4	8.3	7.2	6.5	10.4	10.3
NCU00338	1.7	1.7	1.8	1.3	1.3	2.5
NCU00339	0	0.7	0.7	1	1.5	0
NCU00340	46.2	44.8	79.9	78.3	92.5	72.4
NCU00343	0	0	0	0	0	0
NCU00344	5.6	6.6	7.2	6.4	6.6	4.6
NCU00345	9.6	9.2	6.6	4.7	9.2	6.4
NCU00346	45	47.5	37.6	38.9	44.4	37.3
NCU00347	28.2	32.4	34.2	34.3	56.1	37.9
NCU00348	76.8	52.8	64.4	44.4	55.6	36.9
NCU00349	7.9	7.5	9.6	8.5	8.6	13.3
NCU00350	26.4	26.2	48	38.6	32.5	31.2
NCU00351	24	21.5	37	39.4	51	25
NCU00352	31	32.1	39.7	39.4	27.9	35.7
NCU00353	0.5	0	0	0	0	0
NCU00354	0	1	0	0	1.3	0
NCU00355	139.9	133.7	26.6	36.5	45.3	72.8
NCU00356	16.2	17.6	11.2	19.4	6.4	11
NCU00357	26.6	26.9	28.3	31.8	32.8	44.9
NCU00358	13.4	14	17	13.5	14.6	12.4
NCU00359	20.9	17.8	18.1	13.1	23.7	10.6
NCU00360	26.2	19.7	13.2	18.7	14.2	16.1
NCU00361	36.3	32.8	32.4	32.6	47.7	28
NCU00362	0	0.5	0.1	0.2	0.3	0
NCU00363	0	0.1	0	0	0.2	0
NCU00364	20.4	16	28.8	26.3	30.8	21.9
NCU00365	49.5	50.3	67.8	72	29.5	38.5
NCU00366	246	234.4	296.2	265.3	258	185.8
NCU00367	0.1	0.3	0.1	0	0.1	0.3
NCU00368	0.1	0	0.1	0	0.3	0.4
NCU00369	10.1	14.5	18.9	17.8	12.5	10
NCU00370	0.5	0.2	0.5	0	0.3	0.9
NCU00371	69.4	58.1	65.9	53.2	56	67.4
NCU00372	13.4	14	11.1	8	13.4	9.9
NCU00373	39.5	34.7	169.2	187.4	235.7	179.3
NCU00375	0	0.3	0.6	0	0	0
NCU00376	22.2	19.2	31.5	28.2	45.7	20.7
NCU00377	26.4	24.6	22.9	28	28.1	29.5
NCU00378	82.6	89.2	63.6	49.1	113.3	23.8
NCU00379	35.9	32.9	35.3	33.5	38.4	38.2
NCU00380	0.4	0	0	0	0	0.4
NCU00382	10.3	9.3	19	20.6	16	18
NCU00384	0	0	0	0.6	0	0
NCU00385	567.7	541.1	563.5	506.7	424.2	630.9
NCU00386	0	0	0	0.1	0	0
NCU00387	6.4	6.3	7.9	10	6.8	6.8
NCU00388	16.9	15.6	17.6	19.2	27.2	16.6
NCU00389	69	68.7	76.8	75.6	108.7	75.1
NCU00391	2.5	0.6	0	0	0	0.9
NCU00392	22.9	19.5	17.6	18.5	26.6	23.3
NCU00395	61.4	62	66.5	66.8	52.3	79.7
NCU00396	39.7	37	45.8	42.1	62.9	49.2
NCU00397	286.8	307.5	62.3	61.9	178.6	70
NCU00398	6.1	7.7	7.3	7.8	9.9	10.7
NCU00399	1092.3	1069.5	101.9	99.3	40.8	192.1
NCU00400	5.1	6.1	3.7	4.8	4.2	3.3
NCU00401	6	6.5	5.1	4.7	5.1	5.3
NCU00403	6.1	7.6	2.6	4.3	5.3	4.9
NCU00404	32.9	35	30.6	25.2	55.6	34.9
NCU00405	430.6	418.6	399.7	361.9	885.3	590
NCU00406	80.4	83.5	102.3	108.1	101.2	105.8
NCU00407	4.9	3.8	5.3	4.2	5.7	4.2
NCU00408	29.6	25.8	8.7	10.8	5.9	6.4
NCU00409	42.4	42.6	26.9	29.1	19.8	17.6
NCU00410	145.6	152.2	170.5	177.2	208.6	238.3
NCU00411	47.3	51.5	51.4	41.7	76.9	32.9
NCU00412	11.8	10.6	10.2	13.2	14.9	12.9
NCU00413	3406.4	3509.2	3461.1	3013.5	2904.7	3015.2
NCU00414	470.7	456.4	541.7	497.6	424.9	439
NCU00415	13.9	13.7	16.2	12	21.4	13.5
NCU00416	1.3	2.8	2	3	4.9	3.4
NCU00417	36	44.5	43.9	52.3	60.8	52.1
NCU00418	355.5	351.7	411.5	344.1	338.4	312.8
NCU00419	64	66.2	77	47.9	61.9	60
NCU00420	67.4	72.3	90.6	93.8	124.3	100.8
NCU00421	17.9	17.2	19.9	20.3	27	21.4
NCU00422	413.8	408.3	397.8	357.8	432.8	352
NCU00423	7.7	6.3	7.1	7.2	8.6	7.4
NCU00424	25.2	25.9	29	27.2	39.6	24.9
NCU00425	0.8	0	0	0	0	0.4
NCU00426	8.1	7	7.1	7.3	6.7	4.5
NCU00427	9.8	12.8	13.4	7.4	15.4	15.5
NCU00428	9.6	8.3	9.4	10.2	13.4	13.5
NCU00430	28.4	28.7	24.3	30.9	24	32.8
NCU00431	152.6	162.3	213.4	181.3	219	232.4
NCU00432	15.4	14.7	28.3	25.3	36.6	29.2
NCU00434	50.3	46	47.3	58.9	70	62.4
NCU00435	52.2	64.9	49.8	43.7	50.2	21.9
NCU00436	52.4	52.5	44.7	49.4	66.2	62.4
NCU00437	4.3	4.5	5.1	3.5	6.3	4.5
NCU00438	6.3	4	2.7	3.1	4.8	5.5
NCU00439	0	0.4	0.5	0.5	0	0.6
NCU00440	143.3	140.6	220.1	248.6	326.3	332.7
NCU00441	24.8	25.5	38.8	49.7	48.4	76.7
NCU00442	37.4	36	32.8	34.1	35.1	28.1
NCU00443	685	709	854.1	810.2	928.4	754
NCU00444	90.7	81.4	94.5	93.1	104.8	75.1
NCU00445	7.6	6.8	7.7	8.1	8.5	8.2
NCU00446	9.6	11	5.3	6	3.8	4.4
NCU00447	110.3	113.9	101.6	111.4	84.9	148
NCU00448	4	5.2	3.1	3.6	4.9	1.7
NCU00449	0.4	0.3	0	0.3	0.3	0
NCU00450	99.7	98.9	46.1	42.8	37	44.4
NCU00451	131.5	133.6	1.1	2	1.5	2.7
NCU00453	39.6	39.2	26.5	26.6	16.4	24.6
NCU00454	16.6	18.4	31.5	35.6	57.3	70.3
NCU00455	34	33.4	48.9	43.4	55.7	48.3
NCU00456	134.2	146.2	94.2	101.2	135.6	72.4
NCU00457	194.6	175.1	203.9	184	249.5	236.2
NCU00458	30.5	27.4	23.9	18.3	22.6	12.9
NCU00459	6.9	6.9	7.6	8.6	4.8	8.8
NCU00461	55.7	61.5	28.6	28.9	44.7	42.8
NCU00462	1.1	0	0	0	0	0
NCU00463	71.3	67.1	38.9	36.1	78.9	41.8
NCU00464	2846.2	2992.4	3058.7	2669.4	2590.6	2950.1
NCU00465	138.7	130.7	92	84.7	174	87.1
NCU00466	15.8	16.3	15.3	15.1	16.6	10.3
NCU00467	53.4	53.8	55.9	61.4	52.4	38
NCU00468	17.5	20.3	17.8	13.8	10.6	6.1
NCU00469	16.4	20.9	13.4	9.7	9.5	6.2
NCU00470	16.3	14.7	13.5	14.8	20.4	10.7
NCU00471	15.6	15.2	3.3	3.9	3.7	3.3
NCU00472	79.9	81.3	50.7	60.2	91.8	56.2
NCU00473	71.5	73.7	28.5	35.9	48.6	54.5
NCU00474	0	0.2	0	0.3	0	0
NCU00475	2925	2968.4	2972.5	2451.2	2546.4	2391.5
NCU00476	49.1	43.8	39.3	33.9	83.9	52.7
NCU00477	622	640.8	668.9	687.6	792.7	715.9
NCU00478	35.3	29.6	32.1	31.7	62.7	40.6
NCU00480	32.5	34.1	40.6	33.5	39.9	33.8
NCU00481	56.9	51.2	33.8	29.2	42.6	27.8
NCU00483	17.8	19.5	20	17	20.4	15.7
NCU00484	233.6	246.5	197	186.3	248.7	148.1
NCU00485	0.8	0.3	0	0	0	0
NCU00486	45.2	45.2	25	26	37.9	17.3
NCU00487	13.9	10	9.3	10.1	19.1	6.1
NCU00488	200.2	213.9	211.2	194.6	246.4	197.9
NCU00489	1875.8	1884.1	1992.6	1698.7	1654.2	1833.4
NCU00490	54.9	55.7	53.3	59.1	34.4	48.9
NCU00491	0	0.2	0	0	0	0
NCU00492	18.1	18.1	17.4	15.5	21.7	13.9
NCU00493	126	129	147.5	159.6	151.2	164.9
NCU00494	5.5	6.2	5.5	3.2	6	1.9
NCU00495	11.5	11.3	9.9	12.5	11.3	13.6
NCU00496	0.3	0.9	1	2	1.2	1
NCU00497	14.1	12.7	6.1	6.2	9.7	8.6
NCU00498	17.8	18	8.8	9.2	17.5	8.9
NCU00499	110.7	109.3	51.4	46.2	61.9	33.1
NCU00500	0	0.4	0	0	0	0
NCU00501	13.5	13.2	15.7	10.7	20.7	15.6
NCU00502	670.2	697.9	702.1	690	611.7	813.7
NCU00503	3.1	2.4	3.7	3.8	5.6	3.7
NCU00504	5.1	6.6	4.6	9.2	4.6	3.1
NCU00505	103.2	115.9	153.4	140.4	100.7	111.7
NCU00506	115.5	116.6	74.8	78	129.6	87.2
NCU00509	2.2	2.5	3.1	1.3	1.9	1.8
NCU00510	0.7	0.3	0.6	0.6	0	0.7
NCU00512	3.6	4.4	8.8	9.8	8.6	8.2
NCU00513	53.4	51.4	73.2	61.7	72.4	59
NCU00515	20.7	21.2	14.5	20	22.2	16.4
NCU00516	0	0	0.5	0	0	0
NCU00517	2.1	3.5	2.6	2.4	2.7	2.8
NCU00518	65.7	61	51.2	63	64.4	43.2
NCU00519	191.3	170.2	125.7	111.8	118.1	59
NCU00520	124.7	130.7	183.6	167.2	147.1	196.4
NCU00521	115.6	112.9	93.9	94.9	90.9	60.8
NCU00522	125.3	135.7	198.1	260	570.3	1236.6
NCU00523	29.6	28.9	33.1	34.4	30.8	29
NCU00524	0.3	0.4	0	0	0	0.3
NCU00525	0	0.9	0	0.3	0.6	0.7
NCU00526	0.3	0.2	0	0.1	0.3	0.5
NCU00527	111.7	113.7	172.2	130.1	154.4	162.2
NCU00528	16.5	18.8	24.7	24.9	25.5	28.2
NCU00529	1	0.4	0.9	0	1	0
NCU00530	0.8	0	0	0	0	0
NCU00531	0	0	0	0	0	0
NCU00532	0	0.4	1	1	0	0
NCU00533	0	0.2	0	0.7	0	0
NCU00534	0	0	0	0	0	0
NCU00535	4.3	5.2	4.8	4.9	12	29.9
NCU00536	42.8	45.7	40.2	46.1	33.1	63
NCU00537	61.8	64.3	30.8	29.6	57.9	36.1
NCU00538	14.3	15.4	13.5	14.1	19.7	13.8
NCU00541	109.5	111.4	110.9	125.3	109.8	121.3
NCU00542	79.5	81.7	77.5	82.6	68.4	94.8
NCU00545	8.1	6.7	6.9	7	9.3	6.1
NCU00547	0	0.2	0.1	0.4	0.1	0.2
NCU00548	6.1	8.7	4	4.2	3.9	1.4
NCU00549	33.4	34.3	27	27.8	26	15.6
NCU00550	8.7	8.5	4.5	4.9	6.5	4.9
NCU00551	21.6	18.6	20.2	19.9	21.5	16.5
NCU00552	3.4	3	1.5	5.7	5.4	2.6
NCU00553	30	28.4	41.1	47.7	44.8	32
NCU00554	556.9	541.7	488.1	460.7	908.2	639.6
NCU00556	63	60.1	82.9	88.2	129.3	106.5
NCU00557	0	0.2	0.6	1.7	0	0.7
