ORF	WT1A	WT1B	WT2A	WT2B	HS1A	HS1B
NCU02070	12.5	13.4	13.9	14.3	12.2	13.6
NCU02071	2.8	2.2	0.6	1.6	0.9	1.6
NCU02073	3.1	2.1	2.3	2	3.8	1.1
NCU02074	102.8	102.2	148.5	229.5	67.5	201.2
NCU02075	1719.4	1707.7	1830.8	1576.3	1611.4	2059.8
NCU02076	195	205.6	250.5	238.3	230	237.7
NCU02077	0.9	0.4	0.3	0.2	0.4	0.2
NCU02078	17.2	23.2	23.5	25.3	33.1	34.1
NCU02079	79.1	83.5	77.5	89.9	138.1	85.5
NCU02080	28.8	28.8	38.2	31.5	89.1	37.7
NCU02081	0	0	0	0	1	0
NCU02082	13.7	13.5	16.1	14.6	18.6	12.8
NCU02083	5.3	5.8	4.9	4.4	7.5	3.5
NCU02084	38.7	38	25.4	41.7	23	48.9
NCU02085	0	0.3	0.3	0.3	0.2	0
NCU02086	151.6	149.2	114	105.5	225.4	82.1
NCU02087	0	0.1	0.1	0.1	0	0
NCU02088	0.6	0	0	0	0	0
NCU02089	5	4.6	5.9	6.7	10.6	7.9
NCU02090	179.3	156.9	189	158.8	186.6	141.9
NCU02091	2.8	3	4.2	3.2	2.8	1.7
NCU02092	9.5	10.8	17.5	15.3	20.6	9.5
NCU02094	31.7	33.1	41	48.5	70.6	50.9
NCU02095	30.8	27.9	11.6	12.2	18.4	7.9
NCU02096	18.7	17.9	24.3	22.3	30.5	37.9
NCU02097	1.1	2.8	5.5	5.3	4.6	2.6
NCU02098	120.3	135.6	60.6	69.2	69.1	70.5
NCU02099	122.5	137.8	111.9	134.4	144.2	195.9
NCU02100	17.5	20.1	10.7	13.8	7.4	13.1
NCU02101	2	1.3	2	2	3.4	2.2
NCU02103	81.1	81.2	83.9	71.5	120.5	87.5
NCU02104	10.5	10.3	10	8.2	12.6	7.1
NCU02105	5.7	6.7	9.8	9.1	17.4	9.1
NCU02106	5.7	6.7	10	4.6	7.6	7.4
NCU02107	10	8.7	10.8	11.8	6.1	9.6
NCU02108	17.7	27.9	31.5	22.9	24.8	15.2
NCU02109	214.3	220.8	201.5	206.4	186.1	170.6
NCU02110	60.5	55.4	93.7	114.9	77.6	91.5
NCU02111	54.1	53	62.1	54.9	68	60.3
NCU02112	5.2	4.6	4.5	3.1	5.1	3.4
NCU02113	90.1	102.1	130.9	106.7	127.6	106.8
NCU02114	94.7	99.5	96.3	141.6	103.3	152.4
NCU02115	11.1	12.6	8.6	8.4	6.6	5.8
NCU02116	18.7	17.2	13.1	8.2	15.3	8.6
NCU02117	34.5	29.2	41.2	34.8	46.5	27.7
NCU02118	4.1	4.2	5.1	7.1	3.3	5.8
NCU02119	3.2	2.1	5.1	3.4	5.6	5.6
NCU02120	5	5.3	6	5.8	6.6	8.1
NCU02121	20.2	19.2	19.9	15.5	21.9	15.5
NCU02122	21.6	21.8	9.3	9.3	5	7.3
NCU02123	5.6	6.3	3.4	2.5	6.1	2.4
NCU02124	219.6	202.6	47.9	44.2	42	14.1
NCU02125	0	0.3	0.8	0	0	0.5
NCU02126	3.2	3	2.1	2.7	2.1	2.5
NCU02127	2.3	3.3	5.4	4.5	7.8	7.4
NCU02128	6.5	5	3.3	3.4	4.8	0.6
NCU02129	0	0.2	0	0	0	0
NCU02130	1.4	3.3	2.3	2.1	5.3	3.4
NCU02131	8.8	9.4	13.1	12.2	18.1	9.9
NCU02132	3.4	3.1	0.8	0.7	1.6	0
