ORF	WT	Opt
NCU00729	80.7	167.8
NCU00730	0.4	0.5
NCU00732	0	0
NCU00733	0	1.2
NCU00734	52.2	55.2
NCU00735	10.3	27.6
NCU00736	8.6	12.6
NCU00737	91.5	85.7
NCU00738	2.8	4
NCU00739	0	0
NCU00740	0.1	0
NCU00741	36.6	80.6
NCU00742	63	74.2
NCU00743	430.1	197.2
NCU00744	51.9	90.4
NCU00745	0	0
NCU00746	0.3	0
NCU00747	0	0.5
NCU00748	81.1	53.7
NCU00749	14.9	10.4
NCU00751	1.7	1.5
NCU00752	0.3	0
NCU00753	36.7	28.2
NCU00754	30.7	141.2
NCU00755	5.4	8.6
NCU00756	0	0
NCU00757	0.7	1.2
NCU00758	0	0
NCU00759	23.5	25.5
NCU00760	0	0
NCU00761	0	0.1
NCU00762	0	0
NCU00763	0	0.2
NCU00764	0.5	0.9
NCU00765	0.1	0
NCU00766	22	19.9
NCU00768	178.1	87.8
NCU00770	31	28.4
NCU00771	53.8	62.3
NCU00772	21.6	20.7
NCU00773	0	1.9
NCU00774	82	40.1
NCU00775	404.5	216.6
NCU00776	0.1	0.5
NCU00777	16.7	24.6
NCU00778	21.8	19.4
NCU00779	0	0
NCU00780	0.1	1
NCU00781	0	0.6
NCU00782	1.2	0.4
NCU00783	0	0.6
NCU00784	17.6	14.2
NCU00786	0	0.3
NCU00787	1	0
NCU00788	1.6	0.8
NCU00789	64.7	35.4
NCU00790	406.7	5.3
NCU00792	419.3	220.8
NCU00793	319	162
NCU00794	25.2	22
NCU00795	0.1	0
NCU00796	14.2	8.4
NCU00797	0.3	0
NCU00798	578.4	146.7
NCU00799	46.3	25.6
NCU00800	0.1	0
NCU00801	9	1
NCU00802	21.1	6.8
NCU00803	3.5	6.8
NCU00804	0	0
NCU00805	68.7	74.5
NCU00806	0.2	0
NCU00807	0	0.5
NCU00808	0.9	98.8
NCU00809	0.3	0.4
NCU00810	19.2	15.7
NCU00811	279.7	486.9
NCU00812	38.2	44.2
NCU00813	126.2	141.9
NCU00814	36.9	40.4
NCU00817	0.1	0
NCU00818	0.3	3.2
NCU00819	0	0
NCU00821	76.4	204.4
NCU00822	0	0.1
NCU00823	173.4	222.8
NCU00824	78.2	64.1
NCU00825	0.4	1.4
NCU00826	0.6	0.3
NCU00827	8.4	28.4
NCU00828	12.8	14
NCU00829	6.3	5.8
NCU00830	8.1	7.2
NCU00831	58.1	134.5
NCU00832	20.1	36.3
NCU00833	8.9	7.4
NCU00834	0	0
NCU00835	38.2	4.6
NCU00836	0.6	6.2
NCU00837	6	4.1
NCU00838	48.6	15.4
NCU00839	0	0.2
NCU00840	0.1	0
NCU00841	0.1	0
NCU00842	0	0
NCU00843	164.8	133.2
NCU00844	0	0
NCU00845	0.5	1.6
NCU00846	4.7	3.8
NCU00847	54.7	64.9
NCU00848	43.1	32.4
NCU00849	1.1	1
NCU00850	1.7	2.1
NCU00851	0	0
NCU00852	0	0
NCU00853	0	0
NCU00854	0.3	0.3
NCU00855	1	2.1
NCU00856	16.5	8.8
NCU00857	0.2	0
NCU00859	2.3	38.1
NCU00860	10.8	4
NCU00861	0.1	0
NCU00862	0.3	4.3
NCU00863	10	10.4
NCU00864	131	128
NCU00865	28	9
NCU00866	184.6	129
NCU00867	290.4	278.1
NCU00868	21.9	15.7
NCU00869	1.3	1.5
NCU00870	5.7	6.9
NCU00871	0.2	0
NCU00872	0	0
NCU00873	2.7	5.7
NCU00874	0.2	0.2
NCU00875	0.2	0
NCU00876	3.7	1.4
NCU00877	14.3	7.9
NCU00878	63.1	391.1
NCU00879	59	57.8
NCU00880	93.1	68.7
NCU00881	236.1	270.8
NCU00882	6.3	4.8
NCU00883	6.6	12.5
NCU00884	582.3	150.2
NCU00885	0	0
NCU00886	6.9	16.8
NCU00887	2.1	2.8
NCU00889	22.8	34.3
NCU00890	7.1	4.4
NCU00891	42.9	22.7
NCU00892	41.1	20.4
NCU00893	20.3	27.4
NCU00894	206.2	190.1
NCU00895	218.1	178.7
NCU00896	69.8	64.9
NCU00897	2.5	3.8
NCU00898	27.7	26.6
NCU00899	45.2	39
NCU00900	35.8	42.5
NCU00901	20.1	15.7
NCU00902	33.6	23.8
NCU00903	460.8	437.9
NCU00904	119	77.3
NCU00905	88.6	106.1
NCU00906	3.7	6.9
NCU00907	0	0
NCU00911	634.7	204.8
NCU00912	1.9	0.5
NCU00913	68.6	38.3
NCU00914	32.6	31.1
NCU00915	436.5	616.5
NCU00916	19.9	27.3
NCU00917	6.3	17.3
NCU00918	53.2	62.6
NCU00919	28.8	33.4
NCU00920	28.2	18.1
NCU00921	18.9	30.1
NCU00922	0	0
NCU00923	28	39.8
NCU00924	25	15.6
NCU00925	79.1	79.8
NCU00926	4.1	5.1
NCU00927	17.7	16.3
NCU00928	28.3	21.4
NCU00929	3.7	3.6
NCU00930	155	134.1
NCU00931	13.6	14.5
NCU00932	0.3	0.4
NCU00934	0.3	0
NCU00935	624.1	1614.7
NCU00936	91.6	48.9
NCU00937	2.2	0.5
NCU00938	130.1	140.8
NCU00939	35.4	16.9
NCU00940	0	0
NCU00941	1.5	2
NCU00943	0.8	1.3
NCU00944	29.9	35.9
NCU00945	9.6	20.3
NCU00946	0	0
NCU00947	0	0.5
NCU00948	0	0
NCU00949	3.9	1.9
NCU00950	6.6	9.7
NCU00951	721.4	345
NCU00952	62.3	38.7
NCU00953	10.6	22.7
NCU00954	22.7	24.2
NCU00955	18.8	112.8
NCU00956	24.8	25.9
NCU00957	717	532.3
NCU00958	51.3	41.2
NCU00959	295.7	169.8
NCU00960	0	0
NCU00961	0	0
NCU00962	6.6	5.3
NCU00963	259.8	153.1
NCU00964	47.3	37.4
NCU00965	65.9	126.5
NCU00966	60.9	35.6
NCU00967	21.3	14.3
NCU00968	25	25.3
NCU00969	179.6	161.8
NCU00970	0.9	1.6
NCU00971	1670.3	966.7
NCU00972	16	2.9
NCU00973	0.1	0.3
NCU00974	25.3	21.9
NCU00975	0.4	0.4
NCU00976	0	0
NCU00977	30.6	38.2
NCU00978	13.5	19.9
NCU00979	1274.2	1968.3
NCU00980	16.1	17.4
NCU00981	68.8	69.1
NCU00983	113.1	123
NCU00984	16.1	29.5
NCU00985	0.4	0.9
NCU00986	0	0
NCU00987	6.3	0.6
NCU00988	2.2	0.5
NCU00989	0	0
NCU00990	0.6	0.1
NCU00992	47.9	25.1
NCU00993	0	0
NCU00994	0.7	1
NCU00995	268.7	1039
NCU00998	10.8	12.8
NCU00999	191.7	309.6
NCU01000	0	0
NCU01001	14.4	19.5
NCU01002	94.9	147
NCU01003	0	0.4
NCU01004	100	105.2
NCU01005	5	20.4
NCU01006	40.2	39.1
NCU01007	34.8	37.8
NCU01008	71.1	78.5
NCU01009	0	0.1
NCU01010	5	31.3
NCU01011	0.4	0.4
NCU01012	0	0
NCU01013	82.3	35.5
NCU01014	0	0.2
NCU01015	6.2	5.2
NCU01016	12.4	41.3
NCU01017	16.2	25.6
NCU01019	25.8	17.7
NCU01021	226.7	230
NCU01022	17.6	15.6
NCU01023	48.9	55.4
NCU01024	28.6	73.9
NCU01025	0	0
NCU01026	13.5	12.2
NCU01027	0.2	0
NCU01032	10.5	6.7
NCU01033	0.1	0.1
NCU01034	0	0.5
NCU01036	37.7	26.4
NCU01038	0	0.1
NCU01039	24.4	4.2
NCU01041	9.1	6
NCU01042	1.4	173.3
NCU01043	0	0
NCU01044	9.9	8.2
NCU01045	6.6	79.5
NCU01047	16.8	17.9
NCU01048	0	0.1
NCU01049	0	0
NCU01050	0	0
NCU01051	0	0
NCU01052	0	1
NCU01053	12.4	7.6
NCU01054	0	0
NCU01055	3.4	8.9
NCU01056	0.8	10.9
NCU01057	7.9	33.9
NCU01058	0.2	0.3
NCU01059	5.1	6.3
NCU01060	27.1	25.5
NCU01061	5.4	3.8
NCU01063	27.3	32
NCU01064	12.1	37.4
NCU01065	96.8	204.5
NCU01066	15.9	54
NCU01067	21.5	22.1
NCU01068	54.2	23.6
NCU01069	88.2	93.6
NCU01070	13.4	11
NCU01071	0	0
NCU01072	14.7	10.1
NCU01073	3	2.9
NCU01074	1.9	1.6
NCU01075	0	0
NCU01076	0	0
NCU01077	0.2	0
NCU01078	3.5	4.8
NCU01079	0	0
NCU01080	33.7	51.9
NCU01081	11.3	7.3
NCU01082	0.2	0
NCU01083	86.9	69
NCU01084	24.8	15.8
NCU01085	5.9	3.9
NCU01086	0.1	0.6
NCU01087	0	0
NCU01088	4.1	23.8
NCU01089	0.8	0.4
NCU01090	0	0
NCU01091	0	0.2
NCU01092	2.6	0.2
NCU01093	0.3	0.4
NCU01094	0.1	0
NCU01095	0.3	0.2
NCU01096	0	0
NCU01097	17.8	14.5
NCU01098	3.3	17.4
NCU01099	26.7	22.9
NCU01100	124.9	108.1
NCU01101	46.7	67.7
NCU01102	66.5	68.9
NCU01103	0.3	1.6
NCU01104	26.1	14.5
NCU01105	0.1	0.1
NCU01106	0.2	0.3
NCU01107	385.3	140.1
NCU01108	12.4	12.2
NCU01109	0.8	1
NCU01111	0.1	0.4
NCU01112	9.7	2.1
NCU01113	0	0.1
NCU01114	18.2	31.4
NCU01115	7.4	6.3
NCU01116	11.6	10.9
NCU01118	43.4	41.9
NCU01119	34.4	42.8
NCU01120	0.1	0
NCU01121	34.2	62.8
NCU01122	6.2	2.2
NCU01123	0.2	0.2
NCU01124	4.8	5.5
NCU01127	10.9	4.1
NCU01132	0.4	0.1
NCU01134	0.2	0.2
NCU01135	0.1	0.2
NCU01136	7.3	17.4
NCU01138	0.1	0.7
NCU01140	17.1	4.9
NCU01141	8.9	9.3
NCU01142	172.8	104.4
NCU01143	22	15.3
NCU01144	6	4.9
NCU01145	99.5	98.6
NCU01146	144.4	158
NCU01147	15.9	25.5
NCU01148	1.3	2.8
NCU01149	7.3	17.9
NCU01150	25.3	29.1
NCU01151	0	0.1
NCU01153	0	0
NCU01154	61.1	35.5
NCU01156	0.2	0.7
NCU01157	52.4	34.9
NCU01158	2	13.9
NCU01159	0	0
NCU01160	254.5	162.4
NCU01161	43.7	42
NCU01162	0.3	1.6
NCU01163	41.3	54.5
NCU01164	104.4	104.2
NCU01165	98.9	67.2
NCU01166	143.9	212.1
NCU01167	32.8	50.2
NCU01169	273.8	195
NCU01170	91.4	71.7
NCU01171	28.9	20.5
NCU01172	14.7	10.9
NCU01173	0	0
NCU01174	24.2	14.3
NCU01175	631.5	499.9
NCU01176	5.3	3.7
NCU01177	93.5	124.9
