Id	WT30_a	WT30_b	WT30_c	upf1E30_a	upf1E30_b	upf1E30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.upf1E30_a	norm.upf1E30_b	norm.upf1E30_c	baseMean	WT	upf1E30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNA00010	2660	1222	3285	3870	2361	2538	2305	1894	2568	2999	2424	3022	2535.4	2256	2815	1.246	0.318	0.0159263533697196	0.0306059350926359	0.018	0.0089	0.0121	0.0121	TRUE	0.232
CNA00020	4735	2013	4621	4688	3531	2726	4102	3121	3612	3633	3626	3246	3556.65	3612	3502	0.969	-0.046	0.694583105623691	0.757934939755322	0.011	0.0086	0.0094	0.0094	TRUE	0.1713
CNA00030	1820	1063	2125	6049	5089	3854	1577	1648	1661	4688	5226	4589	3231.37	1629	4834	2.969	1.57	6.67318311440071e-59	3.18200414980201e-57	0.0027	0.0087	0.0064	0.0064	TRUE	0.0611
CNA00040	1841	987	1956	2058	1749	1252	1595	1530	1529	1595	1796	1491	1589.29	1551	1627	1.049	0.069	0.519189399218298	0.602082481910551	0.0039	0.0096	0.0076	0.0076	TRUE	0.0984
CNA00050	3420	2683	3754	3439	3577	2698	2963	4159	2935	2665	3673	3212	3267.91	3352	3183	0.95	-0.073	0.625702872952047	0.698410010428792	0.0326	0.0087	0.016	0.016	TRUE	0.5302
CNA00060	9649	6182	9325	8762	8604	6371	8360	9583	7290	6790	8835	7586	8073.98	8411	7737	0.92	-0.12	0.343598270758689	0.431565157966381	0.0166	0.0082	0.0115	0.0115	TRUE	0.1884
CNA00070	18852	11040	19745	15718	11009	10846	16333	17114	15435	12181	11305	12914	14213.68	16294	12133	0.745	-0.425	5.31205955900087e-06	2.05176752663507e-05	0.0034	0.0081	0.0062	0.0062	TRUE	0.0435
CNA00075	210	88	228	587	383	391	182	136	178	455	393	466	301.72	165	438	2.616	1.388	1.21220089287896e-17	1.33907791966696e-16	0.0086	0.0169	0.0147	0.0147	TRUE	0.2005
CNA00080	618	327	600	557	498	444	535	507	469	432	511	529	497.18	504	491	0.972	-0.041	0.761863085868667	0.815113564671109	0.0065	0.0133	0.0111	0.0111	TRUE	0.1349
CNA00090	5171	2405	4667	5068	4898	2729	4480	3728	3648	3928	5030	3249	4010.51	3952	4069	1.029	0.042	0.774804311374297	0.826025892840412	0.0301	0.0085	0.0152	0.0152	TRUE	0.3576
CNA00100	1079	568	1194	1643	1356	1028	935	881	933	1273	1392	1224	1106.41	916	1296	1.414	0.499	2.93613504635667e-06	1.1844615390902e-05	0.0019	0.0103	0.0073	0.0073	TRUE	0.0498
CNA00110	2505	1536	3167	3078	2593	2599	2170	2381	2476	2385	2663	3095	2528.28	2342	2714	1.158	0.212	0.0708793480209953	0.114026290942514	0.0103	0.0089	0.0095	0.0095	TRUE	0.1814
CNA00120	10752	4750	9871	7659	5903	4299	9315	7363	7716	5935	6062	5119	6918.49	8131	5705	0.702	-0.511	1.03091104882955e-05	3.81086359823885e-05	0.012	0.0083	0.0095	0.0095	TRUE	0.1982
CNA00130	7467	5331	8884	7982	7098	5938	6469	8264	6945	6186	7289	7070	7037.16	7226	6848	0.948	-0.077	0.504375198325657	0.588038489798146	0.0105	0.0083	0.0094	0.0094	TRUE	0.1913
CNA00140	2718	1302	3073	4477	3017	2907	2355	2018	2402	3470	3098	3461	2800.72	2258	3343	1.478	0.564	1.16802718956444e-07	5.83397453838216e-07	0.0057	0.0088	0.0078	0.0078	TRUE	0.1013
CNA00150	1823	1187	2025	1746	1509	1242	1579	1840	1583	1353	1550	1479	1563.99	1667	1461	0.877	-0.19	0.0861875877813652	0.135431799861282	0.0054	0.0096	0.0081	0.0081	TRUE	0.0953
CNA00160	1612	723	1623	1667	1468	1093	1397	1121	1269	1292	1507	1301	1314.48	1262	1367	1.081	0.112	0.349553933035887	0.437801108874124	0.0088	0.0099	0.0096	0.0096	TRUE	0.1092
CNA00170	17879	10270	22035	18091	14524	11557	15490	15921	17225	14020	14914	13761	15221.78	16212	14232	0.878	-0.188	0.0356566018358557	0.062472100705274	0.0024	0.0081	0.0057	0.0057	TRUE	0.0367
CNA00180	3383	1667	3727	4091	2752	2413	2931	2584	2914	3170	2826	2873	2883.01	2810	2956	1.052	0.073	0.47159208384719	0.556969410502347	0.0039	0.0088	0.007	0.007	TRUE	0.058
CNA00190	5936	3233	6754	8573	6244	5789	5143	5012	5280	6644	6412	6893	5897.13	5145	6650	1.292	0.37	1.82328149773581e-05	6.46714693340596e-05	7e-04	0.0083	0.0052	0.0052	TRUE	0.0124
CNA00200	707	366	722	834	618	528	613	567	564	646	635	629	608.99	581	637	1.094	0.13	0.261219568379842	0.344549910292854	0	0.0123	0.008	0.008	TRUE	0.0267
CNA00210	371	170	425	574	375	407	321	264	332	445	385	485	371.95	306	438	1.424	0.51	0.000789880170233283	0.00209580695288479	0.0104	0.0152	0.0138	0.0138	TRUE	0.1432
CNA00220	155	72	159	84	49	56	134	112	124	65	50	67	92.05	123	61	0.49	-1.029	1.45184280330678e-05	5.24118415049963e-05	0	0.0373	0.0283	0.0283	TRUE	0.1882
CNA00225	95	36	83	89	51	48	82	56	65	69	52	57	63.58	68	59	0.875	-0.192	0.493955895016028	0.578741324406264	0.0146	0.0505	0.041	0.041	TRUE	0.3287
CNA00230	1942	1047	2046	3788	3091	2619	1682	1623	1599	2936	3174	3118	2355.5	1635	3076	1.881	0.911	1.36878746509315e-22	2.00272037939015e-21	9e-04	0.009	0.0058	0.0058	TRUE	0.0197
CNA00240	232	159	289	1066	868	800	201	246	226	826	891	953	557.23	224	890	3.985	1.995	1.70930057739039e-49	6.19084383985983e-48	0.0043	0.0127	0.0102	0.0102	TRUE	0.0932
CNA00250	121607	57052	129045	109564	62451	63202	105356	88442	100879	84909	64130	75253	86494.61	98226	74764	0.761	-0.394	0.000828105685881004	0.00218585602788502	0.0136	0.0079	0.01	0.01	TRUE	0.1896
CNA00260	9044	4993	10732	17385	14971	11187	7835	7740	8390	13473	15373	13320	11021.9	7988	14055	1.759	0.815	1.95239002030862e-17	2.13186837802397e-16	0.0041	0.0081	0.0065	0.0065	TRUE	0.0822
CNA00270	1488	712	1610	1237	777	740	1289	1104	1259	959	798	881	1048.18	1217	879	0.722	-0.471	7.11575750333016e-05	0.000228614836316395	0.006	0.0105	0.0091	0.0091	TRUE	0.0787
CNA00280	2045	996	2075	2175	1518	1408	1772	1544	1622	1686	1559	1676	1643.11	1646	1640	0.996	-0.006	0.950607812631096	0.961487651780696	0.0027	0.0095	0.007	0.007	TRUE	0.0541
CNA00290	2637	1687	2850	3073	2455	2037	2285	2615	2228	2381	2521	2425	2409.27	2376	2442	1.029	0.042	0.680055588668541	0.746939181699495	0.0032	0.009	0.007	0.007	TRUE	0.0913
CNA00300	18902	12815	20478	21036	18268	14858	16376	19866	16008	16302	18759	17691	17500.4	17417	17584	1.01	0.014	0.8978258503686	0.921888417698386	0.0079	0.008	0.0086	0.0086	TRUE	0.1845
CNA00310	1324	1002	1649	901	673	578	1147	1553	1289	698	691	688	1011.16	1330	692	0.522	-0.937	2.63903343516032e-13	2.20573942096376e-12	0.0104	0.0106	0.0107	0.0107	TRUE	0.2502
CNA00320	2287	1276	2628	2108	1411	1256	1981	1978	2054	1634	1449	1495	1765.31	2004	1526	0.762	-0.393	6.94689980018333e-05	0.000223840796672898	0.0017	0.0094	0.0064	0.0064	TRUE	0.047
CNA00330	7536	4821	8779	7965	4792	4931	6529	7474	6863	6173	4921	5871	6304.98	6955	5655	0.813	-0.298	0.00679912766611332	0.0144576894998393	0.0088	0.0083	0.0086	0.0086	TRUE	0.1573
CNA00340	1172	673	1375	918	566	599	1015	1043	1075	711	581	713	856.57	1044	668	0.64	-0.643	8.81918807513795e-08	4.48263639279251e-07	0.005	0.011	0.0092	0.0092	TRUE	0.1534
CNA00350	14585	7792	15844	13156	10161	8984	12636	12079	12386	10195	10434	10697	11404.57	12367	10442	0.844	-0.244	0.00301790845928802	0.0070086535627754	4e-04	0.0081	0.0048	0.0048	TRUE	0.0056
CNA00360	7040	4323	7230	4611	3749	3349	6099	6702	5652	3573	3850	3988	4977.23	6151	3804	0.619	-0.693	6.26690776536162e-12	4.71476329952518e-11	0.0049	0.0084	0.0071	0.0071	TRUE	0.074
CNA00370	655	338	743	778	454	448	567	524	581	603	466	533	545.8	557	534	0.958	-0.062	0.646289395250004	0.717521961761646	0.008	0.0128	0.0113	0.0113	TRUE	0.1553
CNA00380	1480	682	1446	1284	1075	828	1282	1057	1130	995	1104	986	1092.45	1156	1028	0.888	-0.172	0.138379815943762	0.203546697753053	0.0056	0.0104	0.0088	0.0088	TRUE	0.1086
CNA00390	3677	2081	3400	3032	3006	2217	3186	3226	2658	2350	3087	2640	2857.62	3023	2692	0.891	-0.167	0.180669672159547	0.254444971005383	0.0145	0.0088	0.0109	0.0109	TRUE	0.2003
CNA00400	7977	5020	9898	9279	6533	5896	6911	7782	7738	7191	6709	7020	7225.05	7477	6973	0.933	-0.1	0.277804664155998	0.362102126652105	0.0026	0.0082	0.006	0.006	TRUE	0.0538
CNA00410	3280	1504	3775	767	289	322	2842	2332	2951	594	297	383	1566.46	2708	425	0.157	-2.671	2.51520347593223e-17	2.71953811394434e-16	0.0703	0.0096	0.0243	0.0703	TRUE	1.436
CNA00420	697	367	614	847	735	619	604	569	480	656	755	737	633.49	551	716	1.3	0.379	0.00410288323804972	0.00922765867044232	0.0084	0.0122	0.0109	0.0109	TRUE	0.159
CNA00430	891	530	1071	614	499	486	772	822	837	476	512	579	666.28	810	522	0.643	-0.636	2.314350190428e-07	1.11236497912667e-06	0.0039	0.0119	0.0093	0.0093	TRUE	0.1013
CNA00450	1671	1093	1919	3196	2795	2051	1448	1694	1500	2477	2870	2442	2071.87	1547	2596	1.68	0.749	1.56989356393859e-11	1.13967738683296e-10	0.0069	0.0092	0.0084	0.0084	TRUE	0.103
CNA00460	2380	1711	2968	2754	2350	1919	2062	2652	2320	2134	2413	2285	2311.14	2345	2277	0.972	-0.041	0.72508253693724	0.783221488725559	0.0093	0.009	0.0091	0.0091	TRUE	0.1555
CNA00470	25514	15729	27974	11894	8494	8853	22104	24383	21868	9217	8722	10541	16139.42	22785	9493	0.417	-1.263	4.29831814637843e-35	9.99622900848991e-34	0.0067	0.008	0.0075	0.0075	TRUE	0.1134
CNA00480	20629	9984	21157	20103	15734	12003	17872	15477	16539	15579	16157	14292	15986.05	16629	15343	0.923	-0.116	0.227743037352923	0.306867422560515	0.0044	0.008	0.0066	0.0066	TRUE	0.0523
CNA00485	331	144	320	472	264	220	287	223	250	366	271	262	276.5	253	300	1.182	0.241	0.174294819150289	0.247001509798614	0.0221	0.0177	0.019	0.019	TRUE	0.4403
CNA00490	1708	942	1667	2244	1323	1451	1480	1460	1303	1739	1359	1728	1511.41	1414	1609	1.138	0.187	0.129755248210307	0.192440766421551	0.0104	0.0097	0.0102	0.0102	TRUE	0.2223
CNA00510	90709	56921	107526	127468	93343	77612	78587	88239	84057	98784	95852	92410	89654.78	83628	95682	1.144	0.194	0.0266558358172296	0.0484837760144341	0.0022	0.0079	0.0055	0.0055	TRUE	0.0341
CNA00520	5461	3407	6098	5872	4196	3724	4731	5282	4767	4551	4309	4434	4678.87	4927	4431	0.9	-0.152	0.0983060729469831	0.151704924678138	0.002	0.0085	0.0059	0.0059	TRUE	0.0476
CNA00530	11008	7101	13693	11566	10643	7868	9537	11008	10704	8963	10929	9368	10084.96	10416	9753	0.936	-0.095	0.376798371021422	0.465242101924364	0.0078	0.0081	0.0082	0.0082	TRUE	0.1359
CNA00540	1431	664	1422	1678	1293	1117	1240	1029	1112	1300	1328	1330	1223.14	1127	1319	1.168	0.225	0.0392355014554878	0.0677397508848588	0.0033	0.0101	0.0077	0.0077	TRUE	0.0919
CNA00550	3871	2097	3636	4168	3324	2523	3354	3251	2842	3230	3413	3004	3182.39	3149	3216	1.022	0.031	0.765665104704986	0.817992958411452	0.0056	0.0087	0.0075	0.0075	TRUE	0.0897
CNA00560	18425	9909	22176	18098	10505	10607	15963	15361	17336	14025	10787	12629	14350.26	16220	12480	0.769	-0.378	0.000715913675817723	0.00191797730126106	0.0103	0.0081	0.0089	0.0089	TRUE	0.1723
CNA00570	3970	2320	4860	5068	3651	3026	3439	3596	3799	3928	3749	3603	3685.8	3611	3760	1.041	0.058	0.530859886547619	0.612665737077767	0.0018	0.0086	0.0059	0.0059	TRUE	0.0257
CNA00580	4706	2122	5288	5421	2810	3257	4077	3290	4134	4201	2886	3878	3744.18	3834	3655	0.953	-0.069	0.623873059434159	0.697071921431154	0.0264	0.0086	0.0142	0.0142	TRUE	0.4126
CNA00590	1448	883	1557	1639	1429	931	1254	1369	1217	1270	1467	1109	1281.1	1280	1282	1.003	0.004	0.971001909973952	0.977788006579665	0.0107	0.01	0.0102	0.0102	TRUE	0.1899
CNA00600	88	45	91	92	94	59	76	70	71	71	97	70	75.87	72	79	1.093	0.129	0.613911876751392	0.68837894080667	0	0.0436	0.0335	0.0335	TRUE	0.3279
CNA00610	2633	1630	3153	2692	2217	1931	2281	2527	2465	2086	2277	2299	2322.46	2424	2221	0.916	-0.126	0.19714951765721	0.273426868179952	0.0021	0.009	0.0065	0.0065	TRUE	0.0346
CNA00620	9939	5878	12110	13191	9239	8085	8611	9112	9467	10223	9487	9627	9421.03	9063	9779	1.079	0.11	0.214964182982293	0.293648517066496	0.0018	0.0082	0.0055	0.0055	TRUE	0.0235
CNA00630	12459	8740	14719	12069	8751	8178	10794	13549	11506	9353	8986	9737	10654.29	11950	9359	0.783	-0.352	0.000863678110647052	0.00226621477330509	0.0078	0.0081	0.008	0.008	TRUE	0.1666
CNA00640	7125	4001	8363	4530	2410	2447	6173	6202	6538	3511	2475	2914	4635.3	6304	2967	0.471	-1.087	1.68224530616571e-18	1.98044793770272e-17	0.0155	0.0085	0.0108	0.0108	TRUE	0.3158
CNA00650	3519	1902	3357	1400	800	867	3049	2948	2624	1085	822	1032	1926.71	2874	980	0.341	-1.552	7.16704148311947e-36	1.73369164051518e-34	0.0121	0.0093	0.0104	0.0104	TRUE	0.238
CNA00660	917	385	1000	856	500	420	794	597	782	663	513	500	641.65	724	559	0.771	-0.376	0.0145668908313316	0.028321898630116	0.0224	0.0121	0.0154	0.0154	TRUE	0.3219
CNA00670	8744	5400	10169	11548	9436	8120	7575	8371	7949	8949	9690	9668	8700.54	7965	9436	1.185	0.245	0.00650633624169221	0.013942449599074	0.0021	0.0082	0.0057	0.0057	TRUE	0.025
CNA00680	2154	1223	2340	3467	2630	2265	1866	1896	1829	2687	2701	2697	2279.28	1864	2695	1.446	0.533	2.58850618739268e-09	1.53595514861582e-08	0	0.0091	0.0053	0.0053	TRUE	0.0032
CNA00690	6839	5482	7101	4385	6584	5348	5925	8498	5551	3398	6761	6368	6083.55	6658	5509	0.827	-0.273	0.443902977599208	0.531486437756991	0.0917	0.0083	0.0297	0.0917	TRUE	1.3723
CNA00700	735	407	892	1612	1191	1121	637	631	697	1249	1223	1335	962	655	1269	1.933	0.951	3.4602919997908e-18	3.95427851286438e-17	0.0015	0.0107	0.0074	0.0074	TRUE	0.0394
CNA00710	10020	5455	11284	9895	7489	6717	8681	8456	8821	7668	7690	7998	8219.12	8653	7785	0.9	-0.153	0.0659184780213734	0.106954142552182	3e-04	0.0082	0.0048	0.0048	TRUE	0.0069
CNA00720	1606	792	1609	1738	1323	1148	1391	1228	1258	1347	1359	1367	1324.88	1292	1358	1.049	0.069	0.498675162957643	0.583445539290954	0.0015	0.0099	0.0068	0.0068	TRUE	0.0547
CNA00730	5193	3493	6252	5157	4185	3589	4499	5415	4887	3997	4297	4273	4561.43	4934	4189	0.849	-0.235	0.0195204022925619	0.0365586963535181	0.0048	0.0085	0.0071	0.0071	TRUE	0.0873
CNA00740	6735	3909	7772	11011	7812	6778	5835	6060	6076	8533	8022	8070	7099.31	5990	8208	1.371	0.455	8.84889984702802e-08	4.49429181502695e-07	6e-04	0.0083	0.0051	0.0051	TRUE	0.0147
CNA00750	1465	814	1482	1679	1283	1168	1269	1262	1159	1301	1317	1391	1283.16	1230	1336	1.087	0.12	0.237985924987214	0.318274961827129	0.0012	0.01	0.0067	0.0067	TRUE	0.0321
CNA00760	2560	1240	2760	4180	3071	2587	2218	1922	2158	3239	3154	3080	2628.48	2099	3158	1.502	0.587	1.84599486774647e-09	1.11635529045836e-08	0.0025	0.0089	0.0065	0.0065	TRUE	0.0631
CNA00770	6849	3962	7360	4350	3554	2871	5934	6142	5754	3371	3650	3418	4711.37	5943	3480	0.586	-0.772	4.31241027800414e-18	4.87758623252755e-17	0.0011	0.0084	0.0055	0.0055	TRUE	0.0222
CNA00780	16089	8151	17566	14550	8700	9503	13939	12636	13732	11276	8934	11315	11971.85	13436	10508	0.782	-0.355	0.0014427811327197	0.00358827517736067	0.0097	0.0081	0.0088	0.0088	TRUE	0.2098
CNA00790	2337	1071	2498	2991	2025	2005	2025	1660	1953	2318	2079	2387	2070.4	1879	2261	1.201	0.265	0.0179924084833918	0.0339947786282556	0.0071	0.0092	0.0085	0.0085	TRUE	0.1208
CNA00800	1626	817	1901	4088	3238	2740	1409	1267	1486	3168	3325	3262	2319.47	1387	3252	2.339	1.226	1.53595828760389e-34	3.51045914835814e-33	0.0027	0.009	0.0067	0.0067	TRUE	0.0656
CNA00820	9878	5035	11472	1106	762	737	8558	7805	8968	857	782	878	4641.39	8444	839	0.099	-3.332	5.8423530554175e-237	3.52028327739156e-234	0.0032	0.0085	0.0067	0.0067	TRUE	0.0529
CNA00830	15454	6448	17395	15966	8878	9164	13389	9996	13598	12373	9117	10911	11563.97	12328	10800	0.876	-0.191	0.167794152366185	0.239478820388258	0.0247	0.0081	0.0137	0.0137	TRUE	0.3333
CNA00840	13777	10214	17133	6436	3398	3694	11936	15834	13393	4988	3489	4398	9006.41	13721	4292	0.313	-1.676	1.75188926327575e-33	3.83218549075632e-32	0.0255	0.0082	0.0138	0.0138	TRUE	0.245
CNA00850	78018	52413	96041	39295	32125	33651	67592	81251	75078	30452	32989	40067	54571.53	74640	34503	0.462	-1.113	6.57785007702887e-21	8.73707220652251e-20	0.0146	0.0079	0.0101	0.0101	TRUE	0.2436
CNA00860	1051	500	1176	1919	1072	1062	911	775	919	1487	1101	1264	1076.24	868	1284	1.477	0.563	2.59219057321316e-05	9.02365499960968e-05	0.0143	0.0104	0.0119	0.0119	TRUE	0.2029
CNA00870	1103	554	1174	1017	700	645	956	859	918	788	719	768	834.52	911	758	0.832	-0.266	0.0167366137312335	0.0319040195026216	0.0012	0.0111	0.0077	0.0077	TRUE	0.0274
CNA00880	2327	1510	3090	3891	2778	2656	2016	2341	2416	3015	2853	3162	2633.81	2258	3010	1.334	0.415	8.43901554080501e-05	0.00026775392534445	0.0052	0.0089	0.0076	0.0076	TRUE	0.1079
CNA00890	753	502	839	1090	777	713	652	778	656	845	798	849	763	695	831	1.199	0.262	0.0281809340115696	0.0508829271627646	0.0039	0.0114	0.0089	0.0089	TRUE	0.1183
CNA00900	4104	2042	4645	4554	3498	2868	3556	3166	3631	3529	3592	3415	3481.38	3451	3512	1.017	0.024	0.79989821821445	0.844223788268371	0.0026	0.0087	0.0063	0.0063	TRUE	0.0619
CNA00910	24585	16396	35084	33271	26477	21555	21299	25417	27426	25784	27189	25665	25463.42	24714	26213	1.061	0.085	0.428688751841651	0.516421128172748	0.0075	0.008	0.0083	0.0083	TRUE	0.1791
CNA00920	2000	906	2085	2649	1756	1600	1733	1404	1630	2053	1803	1905	1754.71	1589	1920	1.207	0.271	0.0162256544504238	0.0310999530646065	0.0069	0.0094	0.0086	0.0086	TRUE	0.1189
CNA00930	2758	1793	2954	2109	1357	1411	2389	2780	2309	1634	1393	1680	2031.02	2493	1569	0.63	-0.666	1.0442817997562e-08	5.82127819073513e-08	0.0091	0.0092	0.0092	0.0092	TRUE	0.1201
CNA00940	3959	2264	3887	3670	2981	2475	3430	3510	3039	2844	3061	2947	3138.39	3326	2951	0.888	-0.172	0.0804372940417459	0.127606123721563	0.0031	0.0087	0.0067	0.0067	TRUE	0.0704
CNA00950	16624	8630	18541	26633	17269	15393	14402	13378	14494	20640	17733	18328	16495.95	14091	18900	1.341	0.423	9.01659277073208e-06	3.35930167984329e-05	0.0042	0.008	0.0065	0.0065	TRUE	0.0795
CNA00960	615	323	753	1458	1142	990	533	501	589	1130	1173	1179	850.59	541	1161	2.138	1.096	5.36635765338007e-22	7.61632088364092e-21	0.0016	0.0111	0.0079	0.0079	TRUE	0.0722
CNA00970	5704	3621	6176	6866	5203	4935	4942	5613	4828	5321	5343	5876	5320.46	5128	5513	1.076	0.105	0.290562280605807	0.375408732135533	0.0048	0.0084	0.007	0.007	TRUE	0.0825
CNA00980	3475	2697	3709	2096	1692	1432	3011	4181	2899	1624	1737	1705	2526.3	3364	1689	0.503	-0.992	3.12637099504073e-13	2.59344016960325e-12	0.0222	0.0089	0.0129	0.0129	TRUE	0.5427
CNA00990	8442	5172	9921	8835	5892	5924	7314	8018	7756	6847	6050	7054	7172.97	7696	6650	0.864	-0.21	0.0302858530009351	0.0542508481837242	0.004	0.0083	0.0067	0.0067	TRUE	0.0759
CNA01000	4261	2166	4303	3889	3009	2181	3692	3358	3364	3014	3090	2597	3185.62	3471	2900	0.836	-0.259	0.0129094304423521	0.0255261649677535	0.0052	0.0087	0.0075	0.0075	TRUE	0.1005
CNA01010	1282	726	1293	1504	1283	1003	1111	1125	1011	1166	1317	1194	1154.03	1082	1226	1.134	0.181	0.0961577235002406	0.148840119420737	0.0031	0.0102	0.0076	0.0076	TRUE	0.0515
CNA01020	8505	5525	10478	8988	7321	5908	7368	8565	8191	6965	7518	7034	7606.99	8041	7172	0.892	-0.165	0.0845861658475355	0.133358017896638	0.0036	0.0082	0.0064	0.0064	TRUE	0.0656
CNA01030	939	510	874	1088	857	740	814	791	683	843	880	881	815.28	763	868	1.14	0.189	0.105465295085103	0.161357567035881	0.0036	0.0112	0.0085	0.0085	TRUE	0.1035
CNA01040	902	468	947	2067	1296	1339	781	725	740	1602	1331	1594	1129.04	749	1509	2.013	1.009	2.92086890493186e-18	3.36102762185562e-17	0.0057	0.0103	0.0086	0.0086	TRUE	0.1282
CNA01050	8056	5418	9481	6667	4235	4739	6979	8399	7412	5167	4349	5643	6324.69	7597	5053	0.665	-0.588	6.4582511687542e-07	2.91390665394846e-06	0.0127	0.0083	0.0099	0.0099	TRUE	0.1806
CNA01060	91621	53192	102590	95540	46452	53763	79377	82459	80198	74041	47701	64014	71298.08	80678	61919	0.767	-0.382	0.0048339002833325	0.010733363845202	0.0232	0.0079	0.0132	0.0132	TRUE	0.4901
CNA01070	6833	4006	7917	9668	6330	5672	5920	6210	6189	7492	6500	6753	6510.83	6106	6915	1.133	0.18	0.0545879509349177	0.0903393105609574	0.0029	0.0083	0.0062	0.0062	TRUE	0.0654
CNA01080	1610	819	1493	1514	1138	1271	1395	1270	1167	1173	1169	1513	1281.14	1277	1285	1.005	0.007	0.954596665089767	0.964491874423015	0.0144	0.01	0.0115	0.0115	TRUE	0.2861
CNA01090	717	362	869	728	464	454	621	561	679	564	476	541	573.82	620	527	0.847	-0.239	0.0684145472859885	0.110490160675324	0.0065	0.0126	0.0106	0.0106	TRUE	0.0827
CNA01095	1926	1042	1874	1666	1293	1307	1669	1615	1465	1291	1328	1556	1487.33	1583	1392	0.879	-0.187	0.101361690191435	0.15594830143659	0.0065	0.0097	0.0086	0.0086	TRUE	0.1268
CNA01100	7110	3446	8436	6730	4019	3876	6160	5342	6595	5216	4127	4615	5342.36	6032	4653	0.771	-0.375	0.00141486901850011	0.00352282188377864	0.0121	0.0084	0.0098	0.0098	TRUE	0.1374
CNA01120	4691	2969	4940	6186	5520	4094	4064	4603	3862	4794	5668	4875	4644.23	4176	5112	1.225	0.293	0.00728884240093435	0.0153952987359442	0.0083	0.0085	0.0084	0.0084	TRUE	0.1103
CNA01130	943	529	955	470	277	291	817	820	747	364	284	346	563.13	795	331	0.418	-1.257	8.41425966428462e-21	1.11095045926053e-19	0.0061	0.0127	0.0109	0.0109	TRUE	0.1769
CNA01140	2077	1036	2548	2745	1446	1168	1799	1606	1992	2127	1485	1391	1733.36	1799	1668	0.927	-0.109	0.476452408932447	0.561409167360757	0.0321	0.0094	0.0163	0.0163	TRUE	0.7078
CNA01150	5661	2895	5696	3164	3261	2050	4904	4488	4453	2452	3349	2441	3681.1	4615	2747	0.595	-0.749	6.35089213183901e-09	3.61009545881895e-08	0.019	0.0086	0.0117	0.0117	TRUE	0.4449
CNA01160	39135	22420	41920	18087	11776	14908	33905	34756	32770	14017	12093	17751	24215.13	33810	14620	0.432	-1.21	2.74286105860832e-21	3.74067553425019e-20	0.0197	0.008	0.0117	0.0117	TRUE	0.4284
CNA01170	5521	2677	5453	7244	5628	4567	4783	4150	4263	5614	5779	5438	5004.47	4399	5610	1.275	0.351	0.000231033209703953	0.000680013404399654	0.0031	0.0084	0.0063	0.0063	TRUE	0.0715
CNA01180	30566	20635	37693	18797	13791	11384	26481	31988	29466	14567	14162	13555	21703.15	29312	14095	0.481	-1.056	4.02667194744803e-27	7.00492957157102e-26	0.005	0.008	0.0069	0.0069	TRUE	0.0874
CNA01190	568	251	595	564	338	300	492	389	465	437	347	357	414.62	449	380	0.846	-0.241	0.110569402186054	0.167701143635965	0.0128	0.0144	0.0139	0.0139	TRUE	0.204
CNA01200	1433	726	1704	1449	1076	844	1241	1125	1332	1123	1105	1005	1155.3	1233	1078	0.873	-0.196	0.0796808307219723	0.126527203168479	0.004	0.0102	0.0081	0.0081	TRUE	0.0661
CNA01205	880	428	1010	712	438	430	762	663	790	552	450	512	621.5	738	505	0.682	-0.552	2.62754682497814e-05	9.14193194538326e-05	0.0075	0.0122	0.0107	0.0107	TRUE	0.1059
CNA01210	3545	2358	3956	3084	2299	2059	3071	3655	3093	2390	2361	2452	2836.93	3273	2401	0.734	-0.446	1.54160990516437e-05	5.54110111248887e-05	0.0048	0.0088	0.0073	0.0073	TRUE	0.1243
CNA01220	1542	1031	1608	1338	1293	847	1336	1598	1257	1037	1328	1008	1260.73	1397	1124	0.806	-0.311	0.0237228795469431	0.0437007353077096	0.0193	0.01	0.0128	0.0128	TRUE	0.2989
CNA01230	24748	16908	33307	28262	20693	18467	21441	26211	26037	21902	21249	21988	23138.04	24563	21713	0.884	-0.178	0.0805466331478842	0.127718441268942	0.0062	0.008	0.0074	0.0074	TRUE	0.1515
CNA01240	2731	1216	2895	3463	2465	2141	2366	1885	2263	2684	2531	2549	2379.73	2171	2588	1.19	0.251	0.0221068433011312	0.0409743169462801	0.0067	0.009	0.0082	0.0082	TRUE	0.1556
CNA01250	7120	3716	7828	8366	5096	5384	6168	5761	6119	6483	5233	6411	6029.23	6016	6042	1.004	0.006	0.9548553528804	0.964606200105364	0.0076	0.0083	0.0081	0.0081	TRUE	0.1674
CNA01260	4809	2458	5948	2354	1415	1545	4166	3810	4650	1824	1453	1840	2957.23	4209	1706	0.405	-1.304	8.36062391333359e-27	1.44307852337435e-25	0.0126	0.0088	0.0102	0.0102	TRUE	0.2021
CNA01270	9451	5176	9286	7925	8229	5050	8188	8024	7259	6142	8450	6013	7345.95	7824	6868	0.878	-0.188	0.152606987003606	0.221040015266587	0.0207	0.0082	0.0123	0.0123	TRUE	0.4953
CNA01280	1853	990	2118	3643	2584	2644	1605	1535	1656	2823	2653	3148	2236.76	1599	2875	1.796	0.845	3.22477539874996e-16	3.21410696885936e-15	0.0038	0.0091	0.0072	0.0072	TRUE	0.0829
