Id	WT30_a	WT30_b	WT30_c	upf1E30_a	upf1E30_b	upf1E30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.upf1E30_a	norm.upf1E30_b	norm.upf1E30_c	baseMean	WT	upf1E30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNG04490	4753	2446	4677	5182	4078	3287	4118	3792	3656	4016	4188	3914	3947.17	3855	4039	1.048	0.067	0.472479929299125	0.557719852430026	0.0021	0.0086	0.006	0.006	TRUE	0.0438
CNG04505	173	99	220	228	157	123	150	153	172	177	161	146	159.95	158	161	1.02	0.029	0.877099884846488	0.905657896364313	0	0.0248	0.0182	0.0182	TRUE	0.0774
CNG04530	3439	2032	3698	7037	5819	4976	2979	3150	2891	5453	5975	5925	4395.65	3007	5784	1.925	0.945	1.36654055751286e-24	2.14631061971452e-23	0.0018	0.0085	0.0059	0.0059	TRUE	0.0308
CNG04540	7131	3927	7385	8507	8228	5590	6178	6088	5773	6593	8449	6656	6622.74	6013	7233	1.203	0.266	0.0188281088343407	0.0354021859160312	0.011	0.0083	0.0091	0.0091	TRUE	0.2643
CNG04550	3477	2034	3562	3417	2834	2406	3012	3153	2785	2648	2910	2865	2895.5	2983	2808	0.942	-0.087	0.373128241858573	0.461312066226193	0.0027	0.0088	0.0065	0.0065	TRUE	0.0417
CNG04575	18	9	29	16	6	18	16	14	23	12	6	21	15.37	18	13	0.747	-0.42	0.462676812319459	0.548394476404394	0.1178	0.1843	0.1686	0.1686	TRUE	0.3613
CNG04580	8416	4455	9585	11040	8225	6851	7291	6906	7493	8556	8446	8157	7808.23	7230	8386	1.16	0.214	0.0128918345359841	0.0254989792015824	0.001	0.0082	0.0052	0.0052	TRUE	0.0185
CNG04600	1560	753	1678	1538	1086	948	1352	1167	1312	1192	1115	1129	1211.07	1277	1145	0.896	-0.159	0.137335984596013	0.20214588183486	0.0023	0.0101	0.0074	0.0074	TRUE	0.0637
CNG04610	3293	1993	4129	4310	4011	2948	2853	3090	3228	3340	4119	3510	3356.55	3057	3656	1.196	0.258	0.0185636776959954	0.0349446338452307	0.0077	0.0087	0.0084	0.0084	TRUE	0.1491
CNG04620	1657	889	1975	1823	1420	1288	1436	1378	1544	1413	1458	1534	1460.36	1453	1468	1.009	0.013	0.898759170795062	0.922703807935203	0.0018	0.0097	0.0068	0.0068	TRUE	0.037
CNG04630	624	262	697	2175	1795	1188	541	406	545	1686	1843	1415	1072.49	497	1648	3.297	1.721	1.07649735079023e-33	2.37834148034589e-32	0.0193	0.0104	0.0132	0.0132	TRUE	0.2524
CNG04640	2271	1423	2756	2371	1684	1605	1968	2206	2154	1837	1729	1911	1967.61	2109	1826	0.866	-0.207	0.0382647160422909	0.0663228394163975	0.0023	0.0093	0.0067	0.0067	TRUE	0.0423
CNG04650	3342	1946	3891	3680	3028	2370	2895	3017	3042	2852	3109	2822	2956.16	2985	2928	0.981	-0.028	0.765950212983448	0.81816567472269	0.0014	0.0088	0.0059	0.0059	TRUE	0.0357
CNG04660	2444	1287	2590	3299	2662	1987	2117	1995	2025	2557	2734	2366	2298.87	2046	2552	1.247	0.319	0.00126783797436442	0.00319879333615812	0.0024	0.0091	0.0066	0.0066	TRUE	0.0485
CNG04670	3664	2006	3812	4473	3276	3184	3174	3110	2980	3466	3364	3791	3314.27	3088	3540	1.146	0.197	0.0368125699632154	0.064141354814982	0.002	0.0087	0.0061	0.0061	TRUE	0.0461
CNG04675	1699	1127	2129	11091	9107	6967	1472	1747	1664	8595	9352	8295	5187.62	1628	8747	5.381	2.428	1.75404330070397e-123	2.58351088823686e-121	0.0052	0.0084	0.0072	0.0072	TRUE	0.0854
CNG04680	1193	494	1144	1468	942	912	1034	766	894	1138	967	1086	980.76	898	1064	1.182	0.241	0.0675582447997924	0.109293640842818	0.013	0.0106	0.0114	0.0114	TRUE	0.2069
CNG04690	45	25	44	64	38	28	39	39	34	50	39	33	39.02	37	41	1.1	0.138	0.684721562263472	0.750758397796905	0	0.0774	0.0574	0.0574	TRUE	0.3205
CNG04710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNH00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNH00020	346	108	298	668	426	329	300	167	233	518	437	392	341.17	233	449	1.909	0.933	1.25900497221755e-06	5.3975969960271e-06	0.0454	0.0158	0.0234	0.0234	TRUE	0.3878
CNH00030	2355	1235	2586	2949	1917	1757	2040	1915	2022	2285	1969	2092	2053.71	1992	2115	1.062	0.086	0.391967407803386	0.48030259148075	0.0027	0.0092	0.0068	0.0068	TRUE	0.061
