# hiTrans_cc.txt
# Genes with high translation efficiency
# In both H99 and JEC21:
#   - in top 5% by ribosome occupancy in TPM
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_06095	CNM01020	5977.978	4262.895	0.713	5911.966	4500.356	0.761
CNAG_04021	CNB05030	7895.892	4577.529	0.58	9566.281	4070.154	0.425
CNAG_05814	CNF01650	3402.464	3991.93	1.173	5798.746	4465.905	0.77
CNAG_05904	CNF00670	4958.044	3932.545	0.793	2288.906	4309.555	1.883
CNAG_01224	CND03460	6063.654	4183.079	0.69	10501.408	3973.667	0.378
CNAG_00116	CNA01060	1686.337	4029.487	2.389	1696.181	4104.666	2.42
CNAG_00334	CNA03160	1295.266	3534.15	2.729	1135.824	4475.154	3.94
CNAG_04445	CNI01120	3802.205	4086.254	1.075	3781.247	3883.35	1.027
CNAG_03221	CNG03520	6325.934	3739.916	0.591	6055.948	3958.861	0.654
CNAG_06144	CNM01460	2598.089	3445.212	1.326	2390.533	4175.925	1.747
CNAG_06605	CNF04150	1851.583	3561.652	1.924	3334.343	3834.494	1.15
CNAG_01727	CNC02320	736.542	3577.75	4.857	709.539	3754.656	5.292
CNAG_02754	CNC03760	9243.505	3602.468	0.39	12615.213	3634.929	0.288
CNAG_03577	CNG00300	1649.528	3351.185	2.032	1690.115	3747.789	2.217
CNAG_04762	CNJ01920	1277.893	3504.031	2.742	1290.334	3460.671	2.682
CNAG_06811	CND05910	6342.028	4318.696	0.681	5085.16	2568.785	0.505
CNAG_03621	CNB01230	2955.171	3509.658	1.188	1284.308	3311.031	2.578
CNAG_03627	CNB01290	3056.281	3538.089	1.158	1375.13	3270.828	2.379
CNAG_01984	CNK03170	970.327	2591.612	2.671	1125.613	4128.151	3.667
CNAG_02285	CNE02610	4433.345	3143.963	0.709	5434.609	3540.763	0.652
CNAG_06150	CNM01520	606.684	3356.513	5.533	539.938	2931.66	5.43
CNAG_05465	CNH01270	2261.577	3193.9	1.412	1531.629	3004.698	1.962
CNAG_05918	CNF00570	1270.022	2447.306	1.927	1115.023	3619.642	3.246
CNAG_04068	CNB05510	2089.123	3128.13	1.497	1476.201	2927.454	1.983
CNAG_05725	CNF02480	1189.835	2668.535	2.243	1349.702	3242.014	2.402
CNAG_04114	CNI04340	1419.007	2963.125	2.088	1024.258	2848.41	2.781
CNAG_06840	CND06220	1197.307	2882.696	2.408	462.587	2900.338	6.27
CNAG_05750	CNF02280	1506.989	2359.578	1.566	853.904	3400.51	3.982
CNAG_02974	CNC05830	1501.583	2879.615	1.918	1334.467	2836.607	2.126
CNAG_07561	CNK01050	1316.576	2379.343	1.807	695.764	3223.735	4.633
CNAG_02775	CNC03950	2084.183	1886.407	0.905	1938.989	3509.37	1.81
CNAG_06377	CNN01030	1319.433	2670.761	2.024	1087.801	2671.576	2.456
CNAG_05235	CNL03930	1181.91	2716.16	2.298	872.817	2499.283	2.863
CNAG_06113	CNM01180	2217.186	2464.301	1.111	2006.784	2610.848	1.301
CNAG_00417	CNA04050	1152.058	2382.675	2.068	1161.355	2654.85	2.286
CNAG_03072	CNC00160	615.369	1847.048	3.002	596.731	2781.05	4.66
CNAG_05839	CNF01340	2570.657	2305.963	0.897	1783.137	2307.837	1.294
CNAG_01117	CND02420	436.622	2099.997	4.81	441.304	2279.468	5.165
CNAG_06746	CNB00560	1747.6	2470.944	1.414	2098.344	1888.83	0.9
CNAG_02257	CNE02890	1608.563	2160.492	1.343	2083.557	2160.968	1.037
CNAG_03281	CNG02940	710.172	1894.455	2.668	669.484	2340.988	3.497
CNAG_06770	CNB00300	1079.913	2036.827	1.886	723	2086.435	2.886
CNAG_03359	CNG02210	1789.081	2144.02	1.198	1097.381	1849.113	1.685
CNAG_02338	CNE02090	1465.315	1623.637	1.108	1992.387	2336.481	1.173
CNAG_05437	CNH01040	1685.222	1912.921	1.135	3898.749	1993.368	0.511
CNAG_06745	CNB00570	2364.431	1770.524	0.749	1846.735	1993.992	1.08
CNAG_00894	CND00340	2876.995	2017.036	0.701	2639.137	1740.718	0.66
CNAG_03861	CNB03500	1107.481	1857.896	1.678	862.865	1873.924	2.172
CNAG_03682	CNB01800	1766.415	2119.298	1.2	1858.69	1592.932	0.857
CNAG_01321	CND04410	1000.501	1942.584	1.942	884.16	1695.387	1.918
CNAG_06747	CNB00550	1710.332	1959.409	1.146	1569.64	1652.714	1.053
CNAG_01648	CNC01610	3217.937	2009.248	0.624	3022.546	1551.466	0.513
CNAG_02961	CNC05720	2062.899	2071.803	1.004	1811.51	1479.24	0.817
CNAG_00785	CNA07620	1384.844	1664.047	1.202	813.959	1844.718	2.266
CNAG_03892	CNB03800	1579.665	1731.377	1.096	1099.569	1748.069	1.59
CNAG_03251	CNG03220	1032.974	1774.515	1.718	1312.828	1698.45	1.294
CNAG_05199	CNL04260	970.717	1234.037	1.271	810.878	2208.221	2.723
CNAG_00483	CNA04650	988.295	1682.907	1.703	556.269	1750.799	3.147
CNAG_01890	CNK02310	247.838	1446.888	5.838	280.322	1904.609	6.794
CNAG_01019	CND01490	2072.325	1549.756	0.748	4383.609	1791.827	0.409
CNAG_01799	CNC02900	1003.564	1682.255	1.676	1126.924	1595.346	1.416
CNAG_05069	CNL05510	923.72	1586.614	1.718	1858.307	1671.945	0.9
CNAG_07487	CNB04580	1249.704	1616.402	1.293	810.464	1600.847	1.975
