# ribosum_JEC21.txt
# Summary of ribosome profiling data, C. neoformans serotype D JEC21
# Mean of 2 quasi-replicates (WT JEC21 and AGO1 deletion mutant)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: JEC21 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNA01640	113.761	315.195	2.771
CNA01650	3.293	2.932	0.89
CNA01660	5.608	0.811	0.145
CNA01680	12.875	8.45	0.656
CNA01690	95.622	35.858	0.375
CNA01700	14.074	22.169	1.575
CNA01710	96.214	83.05	0.863
CNA01720	28.902	23.261	0.805
CNA01730	39.022	27.93	0.716
CNA01740	66.421	101.88	1.534
CNA01750	74.552	32.225	0.432
CNA01760	34.752	10.967	0.316
CNA01770	47.504	61.321	1.291
CNA01780	82.197	37.386	0.455
CNA01790	51.412	30.959	0.602
CNA01800	6.275	2.221	0.354
CNA01810	2.464	4.546	1.845
CNA01820	16.033	19.799	1.235
CNA01830	54.52	52.071	0.955
CNA01840	111.725	47.385	0.424
CNA01850	14.073	20.347	1.446
CNA01860	12.566	18.8	1.496
CNA01870	19.478	59.067	3.033
CNA01880	0.682	1.639	2.406
CNA01890	8.633	9.28	1.075
CNA01900	14.48	2.674	0.185
CNA01910	38.633	70.341	1.821
CNA01920	32.874	24.209	0.736
CNA01930	9.334	1.434	0.154
CNA01940	137.912	12.896	0.094
CNA01950	800.309	677.296	0.846
CNA01960	57.444	24.038	0.418
CNA01980	11.234	0.308	0.027
CNA01990	8.581	12.542	1.461
CNA02000	6.035	23.529	3.899
CNA02010	15.296	2.009	0.131
CNA02015	18.585	5.779	0.311
CNA02020	5.722	3.448	0.603
CNA02030	9.011	12.068	1.339
CNA02040	75.978	68.932	0.907
CNA02050	34.946	5.455	0.156
CNA02055	37.423	13.233	0.354
CNA02060	7.501	2.649	0.353
CNA02080	17.965	10.432	0.581
CNA02090	27.356	53.52	1.956
CNA02100	496.872	206.667	0.416
CNA02115	13.325	0.104	0.008
CNA02120	7.13	2.687	0.377
CNA02125	13.715	0.227	0.017
CNA02130	51.157	11.32	0.221
CNA02140	16.696	6.945	0.416
CNA02150	10.002	6.297	0.63
CNA02160	45.785	30.244	0.661
CNA02170	56.784	57.327	1.01
CNA02180	44.693	34.466	0.771
CNA02205	2.127	0	0
CNA02210	29.894	10.445	0.349
CNA02220	11817.112	4863.816	0.412
CNA02230	582.427	350.763	0.602
CNA02240	13.075	18.265	1.397
CNA02250	81.786	30.509	0.373
CNA02260	77.769	18.41	0.237
CNA02270	111.853	483.817	4.325
CNA02290	128.137	235.29	1.836
CNA02300	9.118	16.24	1.781
CNA02310	8.145	16.293	2
CNA02330	35.251	21.274	0.603
CNA02335	3.08	0.065	0.021
CNA02340	93.653	29.236	0.312
CNA02350	12.288	2.46	0.2
CNA02360	9.867	14.62	1.482
CNA02370	53.677	32.715	0.609
CNA02380	8.8	4.098	0.466
CNA02390	17.347	15.378	0.886
CNA02400	48.495	78.14	1.611
CNA02405	5.821	0.985	0.169
CNA02410	114.532	58.827	0.514
CNA02420	37.087	8.597	0.232
