# ribosum_JEC21.txt
# Summary of ribosome profiling data, C. neoformans serotype D JEC21
# Mean of 2 quasi-replicates (WT JEC21 and AGO1 deletion mutant)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: JEC21 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNC01790	4.548	5.716	1.257
CNC01800	42.126	47.797	1.135
CNC01810	6.983	3.068	0.439
CNC01820	4.761	1.782	0.374
CNC01830	0.906	0.197	0.218
CNC01840	14.551	8.963	0.616
CNC01850	8.219	1.464	0.178
CNC01860	30.695	3.821	0.124
CNC01870	58.327	61.675	1.057
CNC01880	52.043	53.197	1.022
CNC01890	36.065	9.997	0.277
CNC01900	366.025	227.253	0.621
CNC01910	1.356	0.728	0.537
CNC01920	49.854	33.649	0.675
CNC01930	169.495	195.116	1.151
CNC01940	44.266	41.035	0.927
CNC01945	8.227	3.99	0.485
CNC01950	41.885	66.141	1.579
CNC01960	99.959	84.552	0.846
CNC01970	96.812	85.09	0.879
CNC01980	1.61	1.028	0.638
CNC01990	6.342	1.394	0.22
CNC01995	19.724	7.357	0.373
CNC02000	39.814	34.584	0.869
CNC02010	58.726	50.18	0.854
CNC02020	3.857	5.892	1.527
CNC02030	6.128	0.54	0.088
CNC02040	141.009	99.852	0.708
CNC02045	28.809	18.861	0.655
CNC02050	12.147	4.79	0.394
CNC02060	3.61	1.684	0.466
CNC02070	66.935	103.965	1.553
CNC02080	76.523	28.982	0.379
CNC02100	12.66	0.898	0.071
CNC02110	14.663	0.518	0.035
CNC02120	43.087	52.36	1.215
CNC02125	7.503	0.985	0.131
CNC02130	8.34	1.751	0.21
CNC02140	8.85	8.494	0.96
CNC02150	128.691	163.332	1.269
CNC02155	5.521	1.035	0.187
CNC02160	71.432	39.605	0.554
CNC02170	48.668	22.178	0.456
CNC02175	41.715	64.388	1.544
CNC02180	0.438	0.197	0.451
CNC02190	28.91	53.718	1.858
CNC02200	26.15	8.592	0.329
CNC02210	28.217	39.792	1.41
CNC02220	44.137	11.072	0.251
CNC02230	3.477	0.225	0.065
CNC02240	17.545	18.465	1.052
CNC02250	62.243	133.237	2.141
CNC02260	8.471	16.767	1.979
CNC02270	9.795	6.193	0.632
CNC02290	11.493	1.027	0.089
CNC02310	82.535	83.535	1.012
CNC02320	709.539	3754.656	5.292
CNC02330	16.667	38.34	2.3
CNC02340	14.592	18.163	1.245
CNC02350	12	10.731	0.894
CNC02355	4.512	3.108	0.689
CNC02360	15.989	2.149	0.134
CNC02370	12.612	21.049	1.669
CNC02380	169.777	319.031	1.879
CNC02390	19.79	26.336	1.331
CNC02400	1.192	2.506	2.103
CNC02405	450.277	94.667	0.21
CNC02410	144.882	256.873	1.773
CNC02420	8.635	13.126	1.52
CNC02430	6.258	9.049	1.446
CNC02440	58.065	103.375	1.78
CNC02445	48.014	14.717	0.307
CNC02450	61.851	11.491	0.186
CNC02460	58.19	36.334	0.624
CNC02470	33.715	237.575	7.047
CNC02480	27.337	81.202	2.97
CNC02490	14.4	4.704	0.327
CNC02500	10.913	10.535	0.965
CNC02510	1.445	3.89	2.692
CNC02515	211.591	50.122	0.237
CNC02520	312.21	1658.925	5.313
CNC02530	0.939	2.961	3.152
CNC02540	374.719	397.309	1.06
CNC02550	12.014	7.61	0.633
CNC02560	40.558	23.578	0.581
CNC02570	70.511	74.379	1.055
CNC02580	136.317	163.379	1.199
CNC02590	23.032	5.365	0.233
CNC02600	12.778	5.558	0.435
CNC02610	5.523	4.373	0.792
CNC02620	574.044	736.486	1.283
CNC02630	29.355	14.873	0.507
CNC02640	17.742	6.273	0.354
CNC02650	22.239	8.414	0.378
CNC02660	16.195	10.155	0.627
CNC02670	4.004	0.407	0.102
CNC02680	119.028	46.041	0.387
CNC02685	3.423	1.791	0.523
CNC02690	30.535	99.064	3.244
CNC02700	40.638	88.736	2.184
CNC02710	83.709	44.868	0.536
CNC02720	140.71	270.219	1.92
CNC02730	15.764	5.46	0.346
CNC02740	11.367	3.806	0.335
CNC02750	13.003	20.05	1.542
CNC02760	42.308	66.679	1.576
CNC02770	56.835	35.75	0.629
CNC02780	17.572	18.367	1.045
CNC02790	364.034	197.517	0.543
CNC02800	91.797	53.784	0.586
CNC02805	215.279	158.914	0.738
CNC02810	41.621	38.511	0.925
CNC02820	74.707	98.736	1.322
CNC02830	27.937	22.582	0.808
CNC02840	10.991	4.473	0.407
CNC02850	41.711	116.187	2.786
CNC02860	2.816	2.788	0.99
CNC02870	18.113	109.208	6.029
CNC02880	108.645	157.501	1.45
CNC02885	3.951	0.029	0.007
CNC02890	24.275	40.903	1.685
CNC02900	1126.924	1595.346	1.416
CNC02910	1070.194	620.966	0.58
CNC02920	72.717	87.79	1.207
CNC02930	18.325	7.294	0.398
CNC02950	2.11	1.896	0.898
CNC02960	30.021	42.243	1.407
CNC02970	93.569	93.204	0.996
CNC02980	49.335	51.968	1.053
CNC02990	203.272	156.229	0.769
CNC03000	137.732	136.181	0.989
CNC03010	201.643	561.814	2.786
CNC03020	353.377	774.352	2.191
CNC03030	13.06	23.156	1.773
CNC03040	6.66	10.568	1.587
CNC03045	6.974	8.07	1.157
CNC03050	20.58	30.317	1.473
CNC03060	255.215	182.704	0.716
CNC03070	156.278	250.229	1.601
CNC03080	318.951	1345.618	4.219
CNC03090	33.325	33.574	1.007
CNC03100	238.064	201.251	0.845
CNC03110	149.154	106.716	0.715
CNC03120	28.248	36.95	1.308
CNC03125	11.926	18.234	1.529
CNC03130	15.031	18.432	1.226
CNC03140	6.974	0.846	0.121
CNC03150	25.724	8.098	0.315
CNC03160	53.653	22.383	0.417
CNC03170	124.221	43.159	0.347
CNC03180	32.31	32.978	1.021
CNC03190	42.977	22.745	0.529
CNC03200	104.864	303.11	2.891
CNC03210	111.252	65.687	0.59
CNC03220	55.563	22.598	0.407
CNC03230	9.002	0.766	0.085
CNC03240	76.057	51.416	0.676
CNC03250	254.469	117.135	0.46
CNC03260	329.248	939.884	2.855
CNC03265	2.003	0.266	0.133
CNC03270	14.673	8.056	0.549
CNC03280	NA	NA	NA
CNC03290	9.95	5.121	0.515
CNC03300	42.1	43.728	1.039
CNC03310	12.35	5.917	0.479
CNC03320	20.151	3.257	0.162
CNC03330	19.042	8.653	0.454
CNC03340	17.182	34.75	2.022
CNC03350	0.186	0.344	1.85
CNC03360	140.055	127.135	0.908
CNC03370	443.564	204.422	0.461
CNC03380	86.458	197.401	2.283
CNC03390	45.964	56.61	1.232
CNC03400	3.163	1.386	0.438
CNC03410	105.583	75.955	0.719
CNC03420	3419.231	4266.328	1.248
CNC03430	15.605	18.236	1.169
CNC03435	0.787	1.012	1.286
CNC03440	8.201	5.212	0.636
CNC03450	24.618	12.54	0.509
CNC03460	52.498	11.822	0.225
CNC03480	140.569	207.725	1.478
CNC03490	11.8	15.352	1.301
CNC03500	75.228	216.113	2.873
CNC03510	19.785	4.246	0.215
CNC03520	12.447	9.741	0.783
CNC03530	302.538	241.1	0.797
CNC03540	114.833	361.91	3.152
CNC03545	15.892	9.549	0.601
CNC03550	9.543	7.328	0.768
CNC03555	3.873	2.193	0.566
CNC03560	23.661	30.069	1.271
CNC03570	14.366	30.461	2.12
CNC03580	35.122	21.93	0.624
CNC03590	4.582	1.431	0.312
CNC03600	7.663	1.274	0.166
CNC03605	1.298	1.389	1.07
CNC03610	278.216	290.578	1.044
CNC03620	0.793	0.091	0.114
CNC03630	210.394	33.433	0.159
CNC03640	103.07	69.989	0.679
CNC03650	29.306	22.704	0.775
CNC03660	15.713	17.899	1.139
CNC03670	16.228	12.227	0.753
CNC03680	26.04	31.509	1.21
CNC03690	14.56	6.459	0.444
CNC03700	429.241	1013.715	2.362
CNC03710	7.259	5.546	0.764
CNC03720	189.001	62.745	0.332
CNC03730	2.341	1.029	0.44
CNC03740	6.634	6.445	0.971
CNC03750	95.029	125.119	1.317
CNC03760	12615.213	3634.929	0.288
CNC03770	60.924	15.754	0.259
CNC03780	33.737	8.969	0.266
CNC03790	9.696	3.185	0.329
CNC03800	21.172	7.352	0.347
CNC03810	39.807	21.532	0.541
CNC03820	37.579	27.202	0.724
CNC03830	389.33	610.428	1.568
CNC03840	746.005	1404.345	1.882
CNC03850	52.061	191.707	3.682
CNC03860	6.521	1.966	0.302
CNC03870	10.894	6.899	0.633
CNC03880	13.555	17.838	1.316
CNC03890	38.195	16.081	0.421
CNC03895	2.997	1.728	0.577
CNC03900	28.46	35.743	1.256
CNC03910	41.963	16.753	0.399
CNC03920	8.722	8.968	1.028
CNC03925	124.997	23.215	0.186
CNC03930	22.046	7.656	0.347
CNC03940	37.752	50.38	1.334
CNC03950	1938.989	3509.37	1.81
CNC03960	75.113	47.862	0.637
CNC03970	78.013	75.648	0.97
CNC03980	33.836	87.963	2.6
CNC03990	2.92	5.823	1.994
CNC04000	155.904	53.96	0.346
CNC04010	224.914	97.521	0.434
CNC04020	50.016	10.322	0.206
CNC04030	17.953	31.604	1.76
CNC04040	38.725	27.321	0.706
CNC04050	62.938	28.475	0.452
CNC04060	20.709	22.541	1.088
CNC04070	20.139	6.702	0.333
CNC04080	14.828	51.842	3.496
CNC04100	51.04	56.227	1.102
CNC04110	103.033	24.685	0.24
CNC04120	36.151	40.725	1.127
CNC04130	173.248	88.97	0.514
CNC04140	130.669	138.944	1.063
CNC04150	81.623	46.185	0.566
CNC04160	67.234	86.527	1.287
CNC04170	105.463	107.903	1.023
CNC04180	52.762	51.844	0.983
CNC04190	22.07	6.52	0.295
CNC04200	1454.395	1199.122	0.824
CNC04210	9.603	1.016	0.106
CNC04215	18.534	9.055	0.489
CNC04220	17.677	8.887	0.503
CNC04230	2.724	0.438	0.161
CNC04240	54.9	106.333	1.937
CNC04260	9.984	10.643	1.066
CNC04270	50.863	31.441	0.618
CNC04280	68.187	168.767	2.475
CNC04290	6331.298	5830.459	0.921
CNC04300	100.744	233.786	2.321
CNC04305	150.526	189.114	1.256
CNC04310	60.341	34.944	0.579
CNC04320	6.532	3.312	0.507
CNC04330	53.552	69.696	1.301
CNC04340	581.574	505.019	0.868
CNC04350	47.86	88.213	1.843
CNC04360	44.904	9.291	0.207
CNC04370	8.792	10.448	1.188
CNC04380	46.532	6.322	0.136
CNC04390	3.706	0.568	0.153
CNC04400	12.81	10.313	0.805
CNC04410	20.452	19.707	0.964
CNC04415	26.649	3.081	0.116
CNC04420	378.7	361.877	0.956
CNC04430	20.532	13.234	0.645
CNC04440	229.15	241.175	1.052
CNC04450	1.189	0.465	0.391
CNC04460	34.792	34.092	0.98
CNC04470	158.908	84.406	0.531
CNC04480	4.349	1.753	0.403
CNC04490	483.757	494.193	1.022
CNC04510	36.389	50.984	1.401
CNC04520	117.267	30.287	0.258
CNC04530	11.296	28.261	2.502
CNC04540	199.913	183.831	0.92
CNC04560	11.029	23.416	2.123
CNC04570	6.082	2.232	0.367
CNC04580	319.511	175.017	0.548
CNC04590	126.256	159.432	1.263
CNC04600	18.046	16.797	0.931
CNC04610	49.225	43.261	0.879
CNC04620	38.95	34.018	0.873
CNC04630	60.814	28.168	0.463
CNC04640	6.088	0.92	0.151
CNC04645	5.936	2.266	0.382
CNC04660	1.568	0.51	0.325
CNC04670	113.829	65.672	0.577
CNC04680	116.043	54.655	0.471
CNC04690	66.574	156.712	2.354
CNC04700	114.77	181.744	1.584
CNC04710	59.093	63.298	1.071
CNC04720	185.623	106.362	0.573
CNC04730	13.243	4.092	0.309
CNC04740	31.461	48.945	1.556
CNC04750	756.878	655.429	0.866
CNC04760	26.562	13.489	0.508
CNC04770	207.954	178.621	0.859
CNC04790	33.812	27.262	0.806
CNC04800	7.151	3.648	0.51
CNC04803	5.604	2.186	0.39
CNC04805	0.731	0.155	0.213
CNC04810	27.357	18.568	0.679
CNC04820	47.809	7.51	0.157
CNC04830	27.98	26.877	0.961
CNC04835	6.63	2.84	0.428
CNC04840	39.449	37.377	0.947
CNC04850	19.803	11.017	0.556
CNC04855	0.228	0.614	2.694
CNC04860	40.172	22.261	0.554
CNC04870	8.316	18.078	2.174
CNC04880	33.227	30.119	0.906
CNC04890	89.242	95.913	1.075
CNC04900	0.063	0.076	1.218
CNC04910	66.294	35.404	0.534
CNC04920	158.869	92.334	0.581
CNC04930	874.342	705.425	0.807
CNC04940	114.743	45.272	0.395
CNC04945	4.444	2.296	0.517
CNC04960	60.748	48.919	0.805
CNC04970	40.002	30.017	0.75
CNC04980	69.22	70.149	1.013
CNC04990	93.219	172.9	1.855
CNC05000	16.133	21.461	1.33
CNC05010	6.353	4.152	0.654
CNC05020	48.653	29.959	0.616
CNC05030	57.281	105.127	1.835
CNC05040	123.285	176.417	1.431
CNC05050	12.821	1.898	0.148
CNC05060	6.752	3.485	0.516
CNC05065	59.484	18.14	0.305
CNC05070	15.797	19.083	1.208
CNC05080	75.786	145.534	1.92
CNC05090	6.105	5.326	0.872
CNC05100	385.127	270.125	0.701
CNC05110	4.762	1.43	0.3
CNC05120	415.038	202.732	0.488
CNC05130	13.986	1.081	0.077
CNC05140	57.546	164.062	2.851
CNC05145	26.817	2.238	0.083
CNC05150	310.256	119.231	0.384
CNC05160	185.019	127.055	0.687
CNC05170	55.527	40.089	0.722
CNC05180	7.542	2.57	0.341
CNC05200	32.62	13.754	0.422
CNC05210	9.845	3.868	0.393
CNC05220	15.113	6.845	0.453
CNC05230	11.36	13.725	1.208
CNC05240	112.349	217.198	1.933
CNC05250	12.823	7.79	0.608
CNC05260	1360.772	1170.941	0.86
CNC05270	513.875	574.121	1.117
CNC05280	125.711	416.54	3.313
CNC05290	44.31	77.361	1.746
CNC05300	75.998	261.315	3.438
CNC05310	28.692	5.835	0.203
CNC05320	374.705	377.096	1.006
CNC05330	17.353	33.766	1.946
CNC05340	69.479	109.858	1.581
CNC05345	36.213	28.016	0.774
CNC05350	204.154	74.577	0.365
CNC05360	2194.229	5037.483	2.296
CNC05370	19.313	10.799	0.559
CNC05390	4.603	4.766	1.035
CNC05400	17.805	13.485	0.757
CNC05410	27.879	4.26	0.153
CNC05420	104.158	51.159	0.491
CNC05430	3.164	0.182	0.057
CNC05440	3.666	1.815	0.495
CNC05450	26.47	39.629	1.497
CNC05460	22.824	43.132	1.89
CNC05470	126.577	60.949	0.482
CNC05480	696.118	1188.491	1.707
CNC05490	33.218	18.45	0.555
CNC05500	6.977	6.535	0.937
CNC05510	24.414	39.267	1.608
CNC05520	4.842	1.765	0.365
CNC05530	12.906	41.549	3.219
CNC05540	3.678	1.788	0.486
CNC05550	2.129	0.683	0.321
CNC05560	81.463	232.88	2.859
CNC05570	9.742	10.368	1.064
CNC05580	141.263	270.307	1.914
CNC05590	65.616	131.199	1.999
CNC05600	11.887	11.656	0.981
CNC05610	202.404	102.724	0.508
CNC05620	11.525	8.487	0.736
CNC05640	74.076	36.469	0.492
CNC05650	77.595	70.672	0.911
CNC05660	115.182	179.894	1.562
CNC05670	58.511	37.354	0.638
CNC05680	5.031	0.277	0.055
CNC05690	8.316	27.434	3.299
CNC05700	11.665	15.727	1.348
CNC05710	56.301	20.252	0.36
CNC05720	1811.51	1479.24	0.817
CNC05730	31.765	11.779	0.371
CNC05740	22.024	16.21	0.736
CNC05750	24.244	5.489	0.226
CNC05755	31.084	8.209	0.264
CNC05760	1.17	0.083	0.071
CNC05770	5.593	3.086	0.552
CNC05780	5.82	3.409	0.586
CNC05790	10.505	7.394	0.704
CNC05800	30.227	11.274	0.373
CNC05810	7.049	10.724	1.521
CNC05820	30.466	31.863	1.046
CNC05830	1334.467	2836.607	2.126
CNC05840	19.204	9.915	0.516
CNC05850	24.316	61.416	2.526
CNC05860	17.51	21.946	1.253
CNC05870	16.123	25.124	1.558
CNC05880	24.481	18.262	0.746
CNC05890	58.52	17.75	0.303
CNC05900	40.586	57.067	1.406
CNC05910	35.485	47.87	1.349
CNC05920	95.451	31.646	0.332
CNC05930	16.813	9.481	0.564
CNC05940	142.403	67.786	0.476
CNC05950	57.487	22.453	0.391
CNC05955	2.91	0.441	0.152
CNC05960	189.704	68.662	0.362
CNC05970	13.285	9.432	0.71
CNC05980	119.234	132.343	1.11
CNC05990	382.216	1094.562	2.864
CNC06000	18.484	10.563	0.571
CNC06010	51.215	27.981	0.546
CNC06020	31.327	218.643	6.979
CNC06030	243.796	95.869	0.393
CNC06060	37.81	14.914	0.394
CNC06070	6.967	9.43	1.354
CNC06080	49.687	46.568	0.937
CNC06090	6.681	2.059	0.308
CNC06100	4435.306	4663.431	1.051
CNC06110	36.358	43.095	1.185
CNC06120	0.648	1.696	2.618
CNC06140	106.251	30.792	0.29
CNC06150	104.756	64.61	0.617
CNC06160	131.356	17.519	0.133
CNC06170	6.645	7.614	1.146
CNC06180	6.426	21.728	3.381
CNC06190	69.531	13.141	0.189
CNC06200	88.272	167.854	1.902
CNC06210	8.975	5.047	0.562
CNC06220	2.659	4.637	1.743
CNC06230	281.598	0.575	0.002
CNC06240	15.898	13.208	0.831
CNC06245	2.012	2.15	1.068
CNC06250	57.975	15.471	0.267
CNC06260	29.753	31.168	1.048
CNC06280	831.85	787.614	0.947
CNC06290	47.007	25.85	0.55
CNC06295	19.073	6.293	0.33
CNC06300	50.095	25.405	0.507
CNC06310	100.033	82.051	0.82
CNC06320	51.806	74.838	1.445
CNC06330	13.432	14.904	1.11
CNC06340	119.011	71.563	0.601
CNC06350	261.416	95.005	0.363
CNC06360	308.303	246.675	0.8
CNC06370	25.426	95.913	3.772
CNC06380	66.313	26.358	0.397
CNC06390	3.598	2.291	0.637
CNC06400	99.977	161.72	1.618
CNC06410	21.503	18.377	0.855
CNC06420	4.2	11.17	2.659
CNC06425	2.4	1.515	0.631
CNC06430	16.253	27.546	1.695
CNC06440	55.751	34.684	0.622
CNC06450	2.809	0.628	0.224
CNC06460	44.575	100.143	2.247
CNC06470	7.14	9.268	1.298
CNC06480	58.467	41.549	0.711
CNC06490	17.317	12.594	0.727
CNC06500	4.668	5.389	1.154
CNC06510	5.353	4.563	0.853
CNC06520	13.387	10.247	0.765
CNC06530	70.32	24.682	0.351
CNC06540	145.379	161.73	1.112
CNC06550	1.243	0.484	0.389
CNC06560	14.979	30.33	2.025
CNC06570	15.838	3.012	0.19
CNC06580	56.12	42.097	0.75
CNC06590	72.158	189.997	2.633
CNC06600	77.602	45.09	0.581
CNC06610	2.57	0.874	0.34
CNC06620	12.083	34.578	2.862
CNC06630	5.223	1.704	0.326
CNC06640	62.973	45.218	0.718
CNC06650	42.724	19.892	0.466
CNC06660	107.014	76.255	0.713
CNC06670	5.621	2.697	0.48
CNC06675	13.86	2.368	0.171
CNC06680	15.539	7.669	0.494
CNC06690	4.088	2.851	0.697
CNC06695	13.423	19.042	1.419
CNC06700	1.17	0.133	0.114
CNC06710	21.771	20.857	0.958
CNC06720	31.671	12.556	0.396
CNC06730	13.61	18.217	1.339
CNC06740	59.213	25.884	0.437
CNC06750	1.482	0.48	0.323
CNC06755	178.954	44.536	0.249
CNC06760	14.459	10.807	0.747
CNC06770	2.533	0.618	0.244
CNC06780	34.65	31.812	0.918
CNC06790	74.14	29.823	0.402
CNC06800	0.018	0.397	21.524
CNC06810	1.251	0.991	0.793
CNC06820	21.12	12.821	0.607
CNC06830	8.122	1.597	0.197
CNC06840	29.145	93.025	3.192
CNC06850	16.347	54.494	3.334
CNC06860	9.741	9.894	1.016
CNC06870	0.926	0.068	0.074
CNC06875	17.751	5.202	0.293
CNC06880	238.86	263.059	1.101
CNC06890	151.476	60.02	0.396
CNC06900	4.987	0.619	0.124
CNC06920	0.609	0.918	1.508
CNC06940	2333.218	5543.549	2.376
CNC06950	18.19	37.008	2.035
CNC06960	37.694	7.093	0.188
CNC06970	90.879	37.859	0.417
CNC06980	2.806	0.768	0.274
CNC06990	4497.154	5046.366	1.122
CNC07000	82.388	42.32	0.514
CNC07010	12.319	15.168	1.231
CNC07020	36.26	84.393	2.327
CNC07030	8.316	7.742	0.931
CNC07040	114.25	157.306	1.377
CNC07050	2.198	0.258	0.117
CNC07060	1.803	0.36	0.2
CNC07070	14.772	4.928	0.334
CNC07080	63.866	35.05	0.549
CNC07090	274.599	494.436	1.801
CNC07095	5.596	0.862	0.154
CNC07100	3.888	0.388	0.1
CNC07110	59.256	48.411	0.817
CNC07120	NA	NA	NA
CNC07130	65.717	7.476	0.114
CNC07140	33.581	6.084	0.181
CNC07150	5.024	3.567	0.71
CNC07160	166.903	853.667	5.115
CNC07170	29.664	14.924	0.503
CNC07180	17.463	13.114	0.751
CND00010	NA	NA	NA
CND00020	0.55	0.378	0.686
CND00030	0.705	0.278	0.394
CND00040	15.019	13.998	0.932
CND00050	0.088	0.008	0.094
CND00070	6.296	1.447	0.23
CND00090	5.06	11.893	2.35
CND00095	6.328	4.266	0.674
CND00100	4.007	1.476	0.368
CND00110	22.783	3.068	0.135
CND00120	7.578	1.299	0.171
CND00130	55.242	86.615	1.568
CND00140	25.482	17.321	0.68
CND00150	41.564	54.827	1.319
CND00160	105.021	51.775	0.493
CND00170	98.735	0.175	0.002
CND00180	15.708	117.094	7.454
CND00190	33.13	34.743	1.049
CND00200	21.184	4.211	0.199
CND00210	20.086	7.44	0.37
CND00220	4.913	0.111	0.023
CND00240	405.702	1536.876	3.788
CND00250	1.486	1.634	1.1
CND00260	153.09	81.1	0.53
CND00280	3.087	0.045	0.014
CND00290	10.586	11.027	1.042
CND00300	162.307	489.376	3.015
CND00310	68.266	14.362	0.21
CND00320	77.755	23.844	0.307
CND00340	2639.137	1740.718	0.66
CND00350	217.505	155.232	0.714
CND00370	8.55	2.007	0.235
CND00380	88.713	43.725	0.493
CND00390	2.823	1.087	0.385
CND00400	25.796	31.926	1.238
CND00410	24.219	4.658	0.192
CND00420	12.831	4.775	0.372
CND00430	95.921	75.622	0.788
CND00440	39.308	22.236	0.566
CND00450	6.847	1.128	0.165
CND00460	37.166	18.217	0.49
CND00470	3.185	0.77	0.242
CND00480	35.817	32.349	0.903
CND00490	12.4	8.079	0.652
CND00500	3.293	2.025	0.615
CND00510	9.145	0.366	0.04
CND00530	0.847	0.36	0.425
CND00550	70.269	109.007	1.551
CND00560	0.5	0.151	0.303
CND00570	34.739	37.536	1.081
CND00580	40.556	8.717	0.215
CND00600	49.391	3.688	0.075
CND00610	68.105	42.277	0.621
CND00620	8.163	21.8	2.671
CND00630	10.679	11.973	1.121
CND00640	9.167	4.038	0.44
CND00650	44.959	76.138	1.694
CND00660	35.165	16.297	0.463
CND00670	41.164	8.064	0.196
CND00680	13.596	4.402	0.324
CND00690	87.508	58.968	0.674
CND00700	311.185	918.707	2.952
CND00710	76.48	22.933	0.3
CND00720	9.891	21.237	2.147
CND00730	38.879	24.423	0.628
CND00740	36.036	18.744	0.52
CND00750	305.247	673.116	2.205
CND00760	8.304	12.198	1.469
CND00770	14.475	6.818	0.471
CND00780	13.472	10.519	0.781
CND00790	7.876	0.274	0.035
CND00800	28.362	37.517	1.323
CND00870	NA	NA	NA
CND00880	12.588	0	0
CND00900	50.817	59.423	1.169
CND00910	12.588	2.836	0.225
CND00920	81.17	176.261	2.172
CND00930	3.273	1.667	0.509
CND00940	251.027	1304.357	5.196
CND00950	17.055	15.624	0.916
CND00960	29.367	34.137	1.162
CND00970	7.475	9.252	1.238
CND00980	29.666	2.867	0.097
CND00990	73.154	117.52	1.606
CND01000	7.769	7.479	0.963
CND01010	195.26	239.375	1.226
CND01020	47.395	46.481	0.981
CND01030	0.032	0.056	1.777
CND01040	8.944	4.585	0.513
CND01050	121.024	45.431	0.375
CND01060	46.823	86.683	1.851
CND01070	147.364	382.606	2.596
CND01080	448.351	439.025	0.979
CND01090	0.542	0.2	0.369
CND01100	68.074	108.971	1.601
CND01110	5.176	4.884	0.944
CND01120	1.786	0.91	0.51
CND01130	52.907	45.229	0.855
CND01140	61.033	22.541	0.369
CND01150	277.702	101.85	0.367
CND01160	22.166	204.771	9.238
CND01170	74.081	81.344	1.098
CND01180	621.487	1190.158	1.915
CND01190	104.796	59.544	0.568
CND01200	263.066	1170.429	4.449
CND01210	85.855	58.656	0.683
CND01220	285.735	254.966	0.892
CND01230	0.143	1.798	12.572
CND01240	36.055	43.63	1.21
CND01250	386.78	528.694	1.367
CND01260	3.994	1.684	0.421
CND01270	16.045	17.682	1.102
CND01280	24.884	40.236	1.617
CND01290	3.041	1.759	0.579
CND01310	13.772	5.929	0.431
CND01320	31.988	41.866	1.309
CND01330	6.538	2.167	0.331
CND01340	354.059	418.909	1.183
CND01350	8.865	6.846	0.772
CND01360	17.213	16.672	0.969
CND01370	2.909	0.371	0.128
CND01380	27.365	46.337	1.693
CND01400	78.021	98.975	1.269
CND01410	14.433	3.441	0.238
CND01420	66.117	27.082	0.41
CND01430	12.491	7.92	0.634
CND01440	9.657	13.153	1.362
CND01450	68.511	18.192	0.266
CND01460	NA	NA	NA
CND01470	3.375	2.64	0.782
CND01480	125.189	329.042	2.628
CND01490	4383.609	1791.827	0.409
CND01500	79.921	29.888	0.374
CND01510	100.23	210.826	2.103
CND01520	6.171	2.716	0.44
CND01530	91.489	43.246	0.473
CND01540	61.755	68.381	1.107
CND01550	23.684	76.718	3.239
CND01560	13.198	14.274	1.081
CND01570	59.85	220.748	3.688
CND01580	20.414	15.745	0.771
CND01590	26.588	18.274	0.687
CND01600	21.074	5.447	0.258
CND01620	1.708	4.173	2.443
CND01630	0.474	0.349	0.737
CND01640	12.251	7.563	0.617
CND01650	134.952	79.669	0.59
CND01660	197.422	224.587	1.138
CND01670	25.068	33.253	1.327
CND01680	4.408	0.879	0.199
CND01690	13.614	8.996	0.661
CND01700	39.41	9.78	0.248
CND01720	9.975	5.295	0.531
CND01730	224.509	172.141	0.767
CND01740	11.86	10.24	0.863
CND01750	49.492	33.73	0.682
CND01760	91.612	110.468	1.206
CND01770	0.386	0.376	0.973
CND01780	2.274	0.448	0.197
CND01790	806.944	484.679	0.601
CND01800	22.083	19.607	0.888
CND01810	32.969	13.959	0.423
CND01820	3.783	2.962	0.783
CND01830	0.261	0.044	0.168
CND01840	16.963	24.38	1.437
CND01850	21.801	46.923	2.152
CND01860	38.821	50.241	1.294
CND01870	63.619	50.958	0.801
CND01880	45.535	21.887	0.481
CND01890	110.232	40.941	0.371
CND01900	14.204	6.547	0.461
CND01910	2139.244	686.69	0.321
CND01920	2.883	0.551	0.191
CND01930	21	18.105	0.862
CND01940	19.248	16.714	0.868
CND01950	84.503	14.247	0.169
CND01960	10.64	1.562	0.147
CND01980	2.649	0.734	0.277
CND01990	86.244	158.564	1.839
CND02000	38.38	10.965	0.286
CND02010	2.954	2.939	0.995
CND02020	3.106	1.347	0.434
CND02030	6.684	10.254	1.534
CND02040	6.451	3.258	0.505
CND02050	28.639	1.903	0.066
CND02060	31.374	24.317	0.775
CND02070	7.272	1.094	0.15
CND02080	0.075	0.15	1.998
CND02090	3.395	0.47	0.139
CND02100	3.149	1.381	0.439
CND02110	278.156	199.323	0.717
CND02120	25.519	22.546	0.884
CND02125	19.818	43.587	2.199
CND02130	18.102	5.036	0.278
CND02140	50.924	25.549	0.502
CND02150	13.168	3.97	0.302
CND02160	120.981	275.802	2.28
CND02170	34.504	110.567	3.204
CND02180	111.694	184.662	1.653
CND02190	91.358	33.742	0.369
CND02200	103.464	48.825	0.472
CND02210	32.994	11.816	0.358
CND02220	54.939	31.313	0.57
CND02230	53.027	47.963	0.905
CND02240	158.137	23.204	0.147
CND02250	65.086	31.07	0.477
CND02260	5.486	3.079	0.561
CND02270	39.469	9.861	0.25
CND02280	6.533	16.057	2.458
CND02290	122.932	122.17	0.994
