# ribosum_H99.txt
# Summary of ribosome profiling data, C. neoformans serotype A H99
# Mean of 4 quasi-replicates (2x WT H99 and 1x AGO1 deletion, 1x GWO1 deletion)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: H99 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNAG_01234	11.349	4.685	0.413
CNAG_01235	70.428	49.894	0.708
CNAG_01236	234.544	219.288	0.935
CNAG_01237	40.727	53.635	1.317
CNAG_01238	90.311	63.775	0.706
CNAG_01239	13.521	16.678	1.233
CNAG_01240	6.178	2.735	0.443
CNAG_01241	66.668	50.234	0.753
CNAG_01242	6.182	5.888	0.952
CNAG_01243	13.671	4.916	0.36
CNAG_01244	0.338	0.107	0.317
CNAG_01245	28.979	3.865	0.133
CNAG_01246	59.025	27.981	0.474
CNAG_01247	65.677	28.868	0.44
CNAG_01248	16.034	11.096	0.692
CNAG_01249	12.418	13.708	1.104
CNAG_01250	17.753	29.22	1.646
CNAG_01251	19.119	16.46	0.861
CNAG_01252	2.861	3.706	1.295
CNAG_01253	379.75	524.288	1.381
CNAG_01254	17.556	16.209	0.923
CNAG_01255	42.165	42.392	1.005
CNAG_01256	3.293	1.38	0.419
CNAG_01257	15.934	28.189	1.769
CNAG_01258	19.882	11.263	0.567
CNAG_01261	20.545	35.198	1.713
CNAG_01262	16.119	6.219	0.386
CNAG_01263	53.767	43.622	0.811
CNAG_01264	257.518	369.582	1.435
CNAG_01265	36.889	23.063	0.625
CNAG_01266	36.306	29.838	0.822
CNAG_01267	52.824	47.24	0.894
CNAG_01268	0.697	0.123	0.176
CNAG_01270	272.401	286.856	1.053
CNAG_01271	132.91	145.426	1.094
CNAG_01272	24.315	17.216	0.708
CNAG_01273	1256.059	927.363	0.738
CNAG_01274	87.425	164.284	1.879
CNAG_01275	52.118	21.872	0.42
CNAG_01276	50.334	28.72	0.571
CNAG_01277	47.159	9.04	0.192
CNAG_01278	18.679	4.153	0.222
CNAG_01279	75.043	60.455	0.806
CNAG_01281	56.946	18.288	0.321
CNAG_01282	26.212	16.273	0.621
CNAG_01283	18.06	4.979	0.276
CNAG_01284	92.077	42.202	0.458
CNAG_01285	50.458	56.014	1.11
CNAG_01286	6.944	4.488	0.646
CNAG_01287	643.763	412.752	0.641
CNAG_01288	55.197	53.602	0.971
CNAG_01289	44.184	27.906	0.632
CNAG_01290	42.165	24.626	0.584
CNAG_01291	99.765	210.184	2.107
CNAG_01292	7.774	4.864	0.626
CNAG_01293	8.662	6.243	0.721
CNAG_01294	17.727	6.156	0.347
CNAG_01295	122.792	116.31	0.947
CNAG_01296	23.663	14.124	0.597
CNAG_01297	39.796	11.412	0.287
CNAG_01298	22.798	9.388	0.412
CNAG_01299	0.07	0.056	0.796
CNAG_01300	5391.691	5681.271	1.054
CNAG_01301	34.894	22.676	0.65
CNAG_01302	272.822	237.46	0.87
CNAG_01303	20.628	3.132	0.152
CNAG_01304	33.703	24.767	0.735
CNAG_01305	189.402	169.318	0.894
CNAG_01306	7.523	3.498	0.465
CNAG_01307	218.338	131.569	0.603
CNAG_01308	17.47	14.389	0.824
CNAG_01309	119.541	90.545	0.757
CNAG_01310	47.929	47.367	0.988
CNAG_01313	75.906	38.059	0.501
CNAG_01314	29.148	11.922	0.409
CNAG_01315	21.675	23.765	1.096
CNAG_01316	72.702	83.08	1.143
CNAG_01317	51.128	52.743	1.032
CNAG_01318	42.642	19.016	0.446
CNAG_01319	20.944	8.129	0.388
CNAG_01320	154.465	175.428	1.136
CNAG_01321	999.092	1942.158	1.944
CNAG_01322	68.609	24.216	0.353
CNAG_01323	1735.043	1463.78	0.844
CNAG_01324	20.201	10.668	0.528
CNAG_01325	54.54	51.36	0.942
CNAG_01330	38.733	32.883	0.849
CNAG_01331	18.735	12.661	0.676
CNAG_01332	5922.672	6075.746	1.026
CNAG_01333	16.319	11.902	0.729
CNAG_01334	13.657	13.174	0.965
CNAG_01335	16.593	12.203	0.735
CNAG_01336	3.448	0.661	0.192
CNAG_01337	14.319	10.787	0.753
CNAG_01338	7.627	7.745	1.015
CNAG_01339	26.319	40.926	1.555
CNAG_01340	21.716	16.935	0.78
CNAG_01341	71.396	34.504	0.483
CNAG_01342	25.685	22.243	0.866
CNAG_01343	6.873	5.989	0.871
CNAG_01344	12.107	13.691	1.131
CNAG_01345	137.243	171.759	1.251
CNAG_01346	61.899	31.182	0.504
CNAG_01347	84.464	41.783	0.495
CNAG_01348	108.544	105.631	0.973
CNAG_01349	1.537	0.508	0.33
CNAG_01350	32.419	23.085	0.712
CNAG_01351	88.234	65.238	0.739
CNAG_01352	23.727	5.534	0.233
CNAG_01353	28.214	16.521	0.586
CNAG_01354	76.312	123.729	1.621
CNAG_01355	69.91	67.203	0.961
CNAG_01356	5.391	0.201	0.037
CNAG_01357	13.924	10.892	0.782
