# ribosum_H99.txt
# Summary of ribosome profiling data, C. neoformans serotype A H99
# Mean of 4 quasi-replicates (2x WT H99 and 1x AGO1 deletion, 1x GWO1 deletion)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: H99 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNAG_01773	9.419	5.178	0.55
CNAG_01776	2.786	2.555	0.917
CNAG_01777	25.691	37.735	1.469
CNAG_01778	71.312	33.277	0.467
CNAG_01779	20.604	23.89	1.159
CNAG_01780	348.601	213.434	0.612
CNAG_01781	26.671	0.385	0.014
CNAG_01787	1.174	0.482	0.41
CNAG_01788	224.009	67.646	0.302
CNAG_01789	155.405	236.07	1.519
CNAG_01790	55.085	50.251	0.912
CNAG_01791	84.184	102.686	1.22
CNAG_01792	46.97	23.229	0.495
CNAG_01793	22.559	1.188	0.053
CNAG_01794	4.701	7.842	1.668
CNAG_01795	4.573	3.153	0.69
CNAG_01796	2.228	2.621	1.176
CNAG_01797	107.522	153.428	1.427
CNAG_01798	21.533	32.831	1.525
CNAG_01799	1002.302	1679.557	1.676
CNAG_01800	801.753	707.585	0.883
CNAG_01801	2.027	0.13	0.064
CNAG_01802	34.378	106.45	3.096
CNAG_01803	5.388	1.812	0.336
CNAG_01806	0.015	0.057	3.75
CNAG_01807	32.54	35.638	1.095
CNAG_01808	116.444	69.071	0.593
CNAG_01809	22.614	40.734	1.801
CNAG_01810	97.11	133.034	1.37
CNAG_01811	224.525	163.571	0.729
CNAG_01812	199.519	441.617	2.213
CNAG_01813	327.168	453.336	1.386
CNAG_01814	16.736	15.39	0.92
CNAG_01815	7.868	8.771	1.115
CNAG_01816	2.922	4.468	1.529
CNAG_01817	39.54	29.046	0.735
CNAG_01818	134.914	113.834	0.844
CNAG_01819	150.173	205.011	1.365
CNAG_01820	341.717	740.525	2.167
CNAG_01821	32.272	32.64	1.011
CNAG_01822	223.431	226.441	1.013
CNAG_01823	140.776	83.524	0.593
CNAG_01824	16.912	17.313	1.024
CNAG_01825	24.001	21.488	0.895
CNAG_01826	27.51	15.568	0.566
CNAG_01827	0.543	0.403	0.743
CNAG_01828	33.5	10.563	0.315
CNAG_01832	58.687	30.886	0.526
CNAG_01833	210.08	335.191	1.596
CNAG_01834	112.36	105.067	0.935
CNAG_01835	13.314	4.867	0.366
CNAG_01837	28.496	32.316	1.134
CNAG_01839	242.279	190.687	0.787
CNAG_01840	531.79	725.518	1.364
CNAG_01841	1.02	0.184	0.18
CNAG_01842	15.653	9.047	0.578
CNAG_01843	74.63	95.493	1.28
CNAG_01844	7.504	3.71	0.494
CNAG_01845	44.47	47.534	1.069
CNAG_01846	50.454	30.972	0.614
CNAG_01847	4.202	5.52	1.314
CNAG_01848	22.226	10.698	0.481
CNAG_01849	3.163	0.803	0.254
CNAG_01850	19.826	27.131	1.368
CNAG_01851	0.026	0.111	4.284
CNAG_01852	180.087	140.289	0.779
CNAG_01853	319.999	202.139	0.632
CNAG_01854	176.504	119.217	0.675
CNAG_01855	46.537	31.633	0.68
CNAG_01856	0.957	0.499	0.522
CNAG_01857	0.178	0.12	0.672
CNAG_01858	0.15	0.083	0.556
CNAG_01859	15.602	9.886	0.634
CNAG_01860	18.977	18.639	0.982
CNAG_01861	94.956	59.647	0.628
CNAG_01862	0.184	0.169	0.923
CNAG_01863	28.968	40.614	1.402
CNAG_01864	44.216	27.316	0.618
CNAG_01865	11.29	9.212	0.816
CNAG_01866	2.322	0.157	0.068
CNAG_01867	31.914	22.859	0.716
CNAG_01868	43.457	44.929	1.034
CNAG_01869	26.622	10.751	0.404
CNAG_01870	236.457	226.406	0.957
CNAG_01871	20.582	35.752	1.737
CNAG_01872	32.209	20.58	0.639
CNAG_01873	0.248	0.122	0.491
CNAG_01874	84.092	119.739	1.424
CNAG_01875	11.432	7.77	0.68
CNAG_01876	9.857	6.441	0.653
CNAG_01877	257.956	381.402	1.479
CNAG_01878	46.643	33.786	0.724
CNAG_01879	13.959	14.343	1.027
CNAG_01880	23.235	36.605	1.575
CNAG_01881	259.182	359.183	1.386
CNAG_01882	7.848	6.676	0.851
CNAG_01883	2.075	0.033	0.016
CNAG_01884	2979.101	4350.446	1.46
CNAG_01885	18.131	17.485	0.964
CNAG_01886	32.608	9.503	0.291
CNAG_01889	9.591	8.344	0.87
CNAG_01890	247.506	1445.469	5.84
CNAG_01891	16.356	3.731	0.228
CNAG_01892	55.736	95.714	1.717
CNAG_01893	37.388	53.151	1.422
CNAG_01894	44.756	38.243	0.854
CNAG_01895	19.899	30.594	1.537
CNAG_01896	888.499	1035.508	1.165
CNAG_01897	73.614	102.856	1.397
CNAG_01898	59.128	53.42	0.903
CNAG_01899	153.917	146.294	0.95
CNAG_01900	39.053	44.186	1.131
CNAG_01902	14.344	17.169	1.197
CNAG_01903	10.281	16.086	1.565
CNAG_01904	31.181	23.591	0.757
CNAG_01905	31.608	30.091	0.952
CNAG_01906	16.587	11.156	0.673
CNAG_01907	34.088	34.244	1.005
CNAG_01908	39.536	29.351	0.742
CNAG_01909	9.866	13.464	1.365
CNAG_01910	22.964	30.657	1.335
CNAG_01911	15.777	11.956	0.758
CNAG_01912	59.551	72.196	1.212
CNAG_01913	3.037	0.286	0.094
CNAG_01914	61.951	37.52	0.606
CNAG_01915	283.438	381.299	1.345
CNAG_01916	25.655	30.628	1.194
CNAG_01917	20.085	12.753	0.635
CNAG_01918	12.669	9.879	0.78
CNAG_01919	27.317	24.488	0.896
CNAG_01920	329.475	600.899	1.824
CNAG_01921	5.835	2.854	0.489
CNAG_01922	20.577	9.677	0.47
CNAG_01923	106.612	144.527	1.356
CNAG_01924	40.021	29.565	0.739
CNAG_01925	1.114	0.456	0.41
CNAG_01926	7.064	6.095	0.863
CNAG_01927	17.758	10.05	0.566
CNAG_01928	31.323	23.374	0.746
CNAG_01929	3.352	0.249	0.074
CNAG_01930	13.127	3.986	0.304
CNAG_01931	1.773	0.178	0.1
CNAG_01933	0.141	0.032	0.23
CNAG_01934	1.031	0.101	0.098
CNAG_01936	0.315	0.247	0.784
CNAG_01937	1.53	0.032	0.021
CNAG_01938	23.841	21.53	0.903
CNAG_01939	7.532	7.982	1.06
CNAG_01940	9.868	2.975	0.301
CNAG_01941	27.086	20.551	0.759
CNAG_01942	54.673	73.001	1.335
CNAG_01943	118.879	96.745	0.814
CNAG_01944	0.2	0.202	1.012
CNAG_01946	16.573	18.95	1.143
CNAG_01947	6.232	5.852	0.939
CNAG_01948	17.346	8.828	0.509
CNAG_01949	24.867	49.846	2.004
CNAG_01950	36.334	23.032	0.634
CNAG_01951	7817.168	5966.813	0.763
CNAG_01952	7.226	3.179	0.44
CNAG_01953	7.826	1.137	0.145
CNAG_01954	0.447	0.437	0.979
CNAG_01955	0.443	0.912	2.059
CNAG_01956	24.77	8.551	0.345
CNAG_01957	149.174	193.744	1.299
CNAG_01958	218.181	245.022	1.123
CNAG_01959	21.2	13.677	0.645
CNAG_01960	1.411	0.28	0.199
CNAG_01961	164.419	247.254	1.504
CNAG_01962	37.368	36.842	0.986
CNAG_01963	20.501	10.754	0.525
CNAG_01964	5.568	0.684	0.123
CNAG_01965	0.593	0.747	1.258
CNAG_01969	1.629	0.09	0.055
CNAG_01970	13.798	23.41	1.697
CNAG_01971	0.202	0.159	0.79
CNAG_01972	6.713	0.107	0.016
CNAG_01973	20.72	16.894	0.815
CNAG_01974	171.984	212.954	1.238
CNAG_01975	15.967	13.066	0.818
CNAG_01976	6343.984	4988.953	0.786
CNAG_01977	0.811	0.268	0.331
CNAG_01978	13.185	7.436	0.564
CNAG_01979	39.386	47.725	1.212
CNAG_01980	0.064	0.121	1.883
CNAG_01981	91.644	184.198	2.01
CNAG_01982	6.022	4.545	0.755
CNAG_01983	8.18	4.827	0.59
CNAG_01984	968.849	2586.777	2.67
CNAG_01985	44.219	80.642	1.824
CNAG_01986	32.626	25.444	0.78
CNAG_01987	21.397	5.084	0.238
CNAG_01988	15.259	21.692	1.422
CNAG_01989	0.906	0.122	0.135
CNAG_01990	5529.736	4565.681	0.826
CNAG_01991	816.133	1803.98	2.21
CNAG_01992	0.935	0.167	0.179
CNAG_01993	24.969	11.639	0.466
CNAG_01994	0.426	0.107	0.252
CNAG_01995	0.26	0.431	1.656
CNAG_01996	5.122	5.01	0.978
CNAG_01997	67.641	57.276	0.847
CNAG_01999	33.041	5.262	0.159
CNAG_02000	27.2	25.917	0.953
CNAG_02001	8.561	11.47	1.34
CNAG_02002	121.11	432.041	3.567
CNAG_02004	125.034	112.242	0.898
CNAG_02005	0.428	0.525	1.228
CNAG_02006	51.405	30.154	0.587
CNAG_02007	693.943	889.735	1.282
CNAG_02008	69.857	208.324	2.982
CNAG_02009	12.429	8.386	0.675
CNAG_02010	10.316	1.834	0.178
CNAG_02011	15.978	3.545	0.222
CNAG_02012	17.861	13.968	0.782
CNAG_02013	23.579	3.756	0.159
CNAG_02016	0.026	0.116	4.408
CNAG_02018	0.728	0.264	0.362
CNAG_02020	24.5	29.776	1.215
CNAG_02021	159.014	125.164	0.787
CNAG_02022	120.971	89.829	0.743
CNAG_02023	3.55	0.141	0.04
CNAG_02024	10.418	9.974	0.957
CNAG_02025	48.745	30.176	0.619
CNAG_02026	1.575	0.12	0.076
CNAG_02027	3.086	1.475	0.478
CNAG_02028	14.428	32.569	2.257
CNAG_02029	24.963	22.523	0.902
CNAG_02030	52.017	128.032	2.461
CNAG_02031	0.108	0.091	0.841
CNAG_02032	9.84	10.654	1.083
CNAG_02033	88.352	147.942	1.674
CNAG_02034	47.013	41.679	0.887
CNAG_02035	402.087	861.362	2.142
CNAG_02036	133.692	145.329	1.087
CNAG_02037	136.823	161.715	1.182
CNAG_02038	82.648	42.246	0.511
CNAG_02039	1.108	0.704	0.635
CNAG_02040	0.678	0.123	0.181
CNAG_02041	20.947	15.215	0.726
CNAG_02043	9.998	5.028	0.503
CNAG_02044	0.432	0.463	1.072
CNAG_02045	0.585	0.522	0.892
CNAG_02046	40.232	78.73	1.957
CNAG_02047	18.946	10.498	0.554
CNAG_02048	111.072	77.603	0.699
CNAG_02049	3.641	1.343	0.369
CNAG_02050	16.372	5.27	0.322
CNAG_02051	11.686	13.675	1.17
CNAG_02052	0.667	0.161	0.241
CNAG_02053	0.697	0.06	0.086
CNAG_02054	154.831	104.361	0.674
CNAG_02055	39.375	8.884	0.226
CNAG_02056	11.727	13.338	1.137
CNAG_02057	24.542	15.212	0.62
CNAG_02058	4.466	0.11	0.025
CNAG_02059	62.117	29.792	0.48
CNAG_02060	34.693	52.89	1.525
CNAG_02062	5.842	0.147	0.025
CNAG_02063	22.091	17.753	0.804
CNAG_02064	19.722	18.002	0.913
CNAG_02065	37.121	23.119	0.623
CNAG_02066	2.775	0.496	0.179
CNAG_02067	70.561	45.297	0.642
CNAG_02068	37.917	77.071	2.033
CNAG_02069	30.131	11.725	0.389
CNAG_02070	88.36	58.157	0.658
CNAG_02071	19.435	19.169	0.986
CNAG_02072	24.083	12.56	0.522
CNAG_02073	21.251	6.787	0.319
CNAG_02074	83.239	46.759	0.562
CNAG_02075	67.431	58.494	0.867
CNAG_02076	90.701	123.935	1.366
CNAG_02077	15.493	21.398	1.381
CNAG_02078	43.974	44.073	1.002
CNAG_02079	36.234	68.99	1.904
CNAG_02080	67.778	62.73	0.926
CNAG_02081	66.408	32.113	0.484
CNAG_02082	93.608	44.201	0.472
CNAG_02083	0.737	0.331	0.45
CNAG_02084	174.836	256.548	1.467
CNAG_02085	12.18	6.769	0.556
CNAG_02086	89.918	80.991	0.901
CNAG_02087	1.746	0.21	0.12
CNAG_02088	58.524	31.107	0.532
CNAG_02089	3.159	1.57	0.497
CNAG_02090	16.835	12.769	0.759
CNAG_02091	391.539	591.02	1.509
CNAG_02092	16.214	12.235	0.755
CNAG_02093	92.917	48.279	0.52
CNAG_02094	122.883	129.33	1.052
CNAG_02095	68.917	110.521	1.604
CNAG_02096	11.763	7.109	0.604
CNAG_02097	31.163	51.694	1.659
CNAG_02099	83.971	225.741	2.688
CNAG_02100	102.242	288.173	2.819
CNAG_02101	69.519	70.648	1.016
CNAG_02102	1.806	0.546	0.302
CNAG_02103	2.323	0.1	0.043
CNAG_02104	10.674	9.276	0.869
CNAG_02105	17.664	12.702	0.719
CNAG_02106	119.621	189.402	1.583
CNAG_02107	10.04	1.895	0.189
CNAG_02108	21.708	7.146	0.329
CNAG_02109	13.112	7.34	0.56
CNAG_02110	50.619	85.927	1.698
CNAG_02111	44.404	17.339	0.39
CNAG_02112	66.884	31.765	0.475
CNAG_02113	125.757	162.813	1.295
CNAG_02114	38.897	15.931	0.41
CNAG_02115	163.507	199.983	1.223
CNAG_02116	21.064	15.976	0.758
CNAG_02117	46.683	53.174	1.139
CNAG_02118	0.131	0.176	1.342
CNAG_02119	27.682	6.988	0.252
CNAG_02120	52.881	42.573	0.805
CNAG_02121	21.83	16.109	0.738
CNAG_02122	55.736	38.872	0.697
CNAG_02123	42.194	22.373	0.53
CNAG_02124	9.374	3.073	0.328
CNAG_02125	0.123	0.105	0.851
CNAG_02126	119.165	119.948	1.007
CNAG_02127	51.966	11.867	0.228
CNAG_02128	453.07	460.47	1.016
CNAG_02129	50.935	109.243	2.145
CNAG_02130	181.171	100.029	0.552
CNAG_02131	61.776	78.925	1.278
CNAG_02132	4.378	2.243	0.512
CNAG_02133	153.376	325.835	2.124
CNAG_02134	85.391	100.204	1.173
CNAG_02135	15.288	12.745	0.834
CNAG_02136	238.871	238.851	1
CNAG_02137	19.477	14.257	0.732
CNAG_02138	8.067	3.716	0.461
CNAG_02139	38.855	53.42	1.375
CNAG_02140	541.39	610.816	1.128
CNAG_02141	31.099	11.068	0.356
CNAG_02143	5.094	1.795	0.352
CNAG_02144	4530.203	5327.256	1.176
CNAG_02145	285.764	250.021	0.875
CNAG_02146	0.017	0.055	3.281
CNAG_02147	7.403	9.375	1.266
CNAG_02148	133.027	199.549	1.5
CNAG_02149	66.126	94.578	1.43
CNAG_02150	9.586	3.578	0.373
CNAG_02151	14.21	10.581	0.745
CNAG_02152	7.731	3.996	0.517
CNAG_02153	41.626	54.887	1.319
CNAG_02154	17.606	11.284	0.641
CNAG_02155	0.199	0.053	0.267
CNAG_02156	22.829	8.648	0.379
CNAG_02157	12.016	9.524	0.793
CNAG_02159	17.7	0.196	0.011
CNAG_02160	2.355	1.378	0.585
CNAG_02161	18.586	23.882	1.285
CNAG_02162	168.407	79.106	0.47
CNAG_02163	12.903	30.37	2.354
CNAG_02164	6.463	3.593	0.556
CNAG_02165	7.883	13.665	1.734
CNAG_02166	49.587	54.944	1.108
CNAG_02167	7.407	21.943	2.962
CNAG_02168	7.057	3.255	0.461
CNAG_02169	1.667	0.179	0.108
CNAG_02170	4.048	1.297	0.32
CNAG_02171	18.1	3.174	0.175
CNAG_02172	8.078	7.704	0.954
CNAG_02173	22.226	33.947	1.527
CNAG_02174	95.231	101.038	1.061
CNAG_02175	12.637	27.511	2.177
CNAG_02176	15.837	1.799	0.114
CNAG_02177	195.664	242.447	1.239
CNAG_02178	17.139	15.301	0.893
CNAG_02179	13.098	11.218	0.856
CNAG_02180	14.894	22.406	1.504
CNAG_02181	82.6	57.034	0.69
CNAG_02182	550.403	447.088	0.812
CNAG_02183	15.052	5.188	0.345
CNAG_02184	0.605	0.149	0.245
CNAG_02185	19.124	13.007	0.68
CNAG_02186	28.852	29.232	1.013
CNAG_02187	37.987	34.117	0.898
CNAG_02188	6.962	7.254	1.042
CNAG_02189	72.414	119.972	1.657
CNAG_02190	158.656	145.118	0.915
CNAG_02191	74.473	98.247	1.319
CNAG_02192	1.473	0.07	0.048
CNAG_02193	71.162	46.286	0.65
CNAG_02194	15.159	37.995	2.506
CNAG_02195	8.449	8.352	0.988
CNAG_02196	73.925	81.411	1.101
CNAG_02197	62.39	106.465	1.706
CNAG_02198	72.706	60.249	0.829
CNAG_02199	16.069	9.685	0.603
CNAG_02200	33.872	47.676	1.408
CNAG_02201	6.438	15.992	2.484
CNAG_02202	171.136	274.984	1.607
CNAG_02203	23.403	13.008	0.556
CNAG_02204	62.418	76.023	1.218
CNAG_02205	14.461	7.822	0.541
CNAG_02206	0.503	0.114	0.226
CNAG_02207	24.434	4.541	0.186
CNAG_02208	62.203	166.862	2.683
CNAG_02209	198.596	259.334	1.306
CNAG_02210	14.316	16.12	1.126
CNAG_02211	8.612	12.447	1.445
CNAG_02212	185.225	283.79	1.532
CNAG_02213	52.679	103.531	1.965
CNAG_02214	15.112	6.016	0.398
CNAG_02215	46.401	31.568	0.68
CNAG_02216	10.101	16.244	1.608
CNAG_02217	1.362	0.367	0.269
CNAG_02218	11.541	3.629	0.314
CNAG_02219	15.961	10.78	0.675
CNAG_02220	24.135	9.255	0.383
CNAG_02221	16.587	13.903	0.838
CNAG_02222	37.039	44.141	1.192
CNAG_02223	21.529	16.853	0.783
CNAG_02224	10.158	12.313	1.212
CNAG_02225	1.016	0.313	0.308
CNAG_02226	4.032	0.925	0.229
CNAG_02227	43.977	68.897	1.567
CNAG_02228	27.374	12.293	0.449
CNAG_02229	36.25	23.437	0.647
CNAG_02230	37.406	24.389	0.652
CNAG_02231	92.252	46.53	0.504
CNAG_02232	49.784	60.711	1.219
CNAG_02233	9.848	3	0.305
CNAG_02234	2848.893	5096.065	1.789
CNAG_02235	87.95	28.118	0.32
CNAG_02236	101.259	34.932	0.345
CNAG_02237	56.523	64.752	1.146
CNAG_02238	53.617	56.967	1.062
CNAG_02239	278.356	161.049	0.579
CNAG_02240	57.676	47.972	0.832
CNAG_02253	3.548	0.213	0.06
CNAG_02254	0.704	0.405	0.575
CNAG_02255	1.346	0.352	0.262
CNAG_02257	1644.475	2114.874	1.286
CNAG_02258	36.917	5.571	0.151
CNAG_02259	86.843	44.793	0.516
CNAG_02260	127.464	81.782	0.642
CNAG_02261	61.749	54.148	0.877
CNAG_02262	32.271	16.841	0.522
CNAG_02263	82.362	53.315	0.647
CNAG_02264	0.907	0.441	0.486
CNAG_02265	45.631	41.8	0.916
CNAG_02266	258.338	483.189	1.87
CNAG_02267	48.744	118.59	2.433
CNAG_02268	22.035	21.429	0.973
CNAG_02269	19.874	20.745	1.044
CNAG_02270	10.728	15.836	1.476
CNAG_02280	142.894	74.626	0.522
CNAG_02281	19.316	32.091	1.661
CNAG_02282	32.659	16.841	0.516
CNAG_02283	2.174	0.873	0.401
CNAG_02284	2.199	0.775	0.352
CNAG_02285	4428.196	3138.061	0.709
CNAG_02286	15.101	13.443	0.89
CNAG_02287	21.418	11.62	0.543
CNAG_02288	4.658	0.944	0.203
CNAG_02289	27.242	7.671	0.282
CNAG_02290	45.071	71.63	1.589
CNAG_02291	72.002	91.583	1.272
CNAG_02292	235.1	304.54	1.295
CNAG_02293	15.632	6.677	0.427
CNAG_02294	61.747	112.851	1.828
CNAG_02295	5.101	1.411	0.277
CNAG_02296	46.727	53.115	1.137
CNAG_02297	27.677	12.643	0.457
CNAG_02298	13.224	7.317	0.553
CNAG_02299	28.914	23.799	0.823
CNAG_02300	77.687	24.463	0.315
CNAG_02301	284.886	394.42	1.384
CNAG_02302	4.375	1.301	0.297
CNAG_02303	39.313	22.858	0.581
CNAG_02304	36.152	13.899	0.384
CNAG_02305	12.306	6.858	0.557
CNAG_02306	55.155	39.91	0.724
CNAG_02307	54.224	17.84	0.329
CNAG_02308	35.905	21.527	0.6
CNAG_02309	88.9	152.063	1.711
CNAG_02310	110.568	65.95	0.596
CNAG_02311	0.224	0.108	0.485
CNAG_02312	8.372	4.444	0.531
CNAG_02313	47.01	18.458	0.393
CNAG_02314	12.819	5.278	0.412
CNAG_02315	1339.724	1481.587	1.106
CNAG_02316	76.114	125.261	1.646
CNAG_02317	50.613	58.704	1.16
CNAG_02318	9.072	11.311	1.247
CNAG_02319	16.618	5.663	0.341
CNAG_02321	0.04	0.047	1.163
CNAG_02322	10.547	7.602	0.721
CNAG_02323	39.113	3.59	0.092
CNAG_02324	13.065	7.705	0.59
CNAG_02325	19.056	17.776	0.933
CNAG_02326	79.228	113.638	1.434
CNAG_02327	112.558	96.083	0.854
CNAG_02328	59.235	80.274	1.355
CNAG_02330	4739.709	6078.81	1.283
CNAG_02331	7045.637	5599.761	0.795
CNAG_02332	56.417	38.321	0.679
CNAG_02333	10.24	3.721	0.363
CNAG_02334	0.415	0.104	0.25
CNAG_02335	172.738	128.169	0.742
CNAG_02336	12.992	8.054	0.62
CNAG_02337	112.101	168.416	1.502
CNAG_02338	1465.393	1623.247	1.108
CNAG_02339	0.202	0.109	0.539
CNAG_02340	89.736	50.732	0.565
CNAG_02341	16.091	15.986	0.993
CNAG_02342	16.995	6.522	0.384
CNAG_02343	16.154	5.285	0.327
CNAG_02344	3.905	7.181	1.839
CNAG_02345	12.825	3.658	0.285
CNAG_02347	263.095	246.213	0.936
CNAG_02348	33.991	42.366	1.246
CNAG_02349	5.376	2.614	0.486
CNAG_02350	58.64	57.232	0.976
CNAG_02351	14.169	4.676	0.33
CNAG_02353	2.463	0.225	0.091
CNAG_02354	76.76	143.963	1.875
CNAG_02355	10.901	3.515	0.322
CNAG_02356	30.353	26.799	0.883
CNAG_02357	16.996	10.285	0.605
CNAG_02358	45.573	27.873	0.612
CNAG_02359	8813.42	5412.563	0.614
CNAG_02360	49.48	67.088	1.356
CNAG_02361	24.617	9.408	0.382
CNAG_02362	41.309	21.137	0.512
CNAG_02363	1.862	0.408	0.219
CNAG_02364	18.877	3.806	0.202
CNAG_02365	3.396	1.504	0.443
CNAG_02366	39.537	20.034	0.507
CNAG_02367	323.007	367.599	1.138
CNAG_02368	24.733	12.638	0.511
CNAG_02371	25.33	16.048	0.634
CNAG_02372	98.394	91.609	0.931
CNAG_02373	25.927	20.396	0.787
CNAG_02374	18.113	6.454	0.356
CNAG_02375	17.646	5.286	0.3
CNAG_02376	39.839	43.254	1.086
CNAG_02377	51.246	102.967	2.009
CNAG_02378	539.771	400.106	0.741
CNAG_02381	0.237	0.104	0.438
CNAG_02382	233.564	174.392	0.747
CNAG_02383	29.432	14.869	0.505
CNAG_02384	14.031	6.657	0.474
CNAG_02385	16.856	23.861	1.416
CNAG_02386	39.117	12.988	0.332
CNAG_02387	16.983	12.605	0.742
CNAG_02388	19.013	13.347	0.702
CNAG_02389	6.376	3.773	0.592
CNAG_02392	2.249	0.174	0.077
CNAG_02393	15.032	10.045	0.668
CNAG_02394	74.159	55.19	0.744
CNAG_02395	15.526	14.783	0.952
CNAG_02396	64.733	49.089	0.758
CNAG_02397	5.172	2.299	0.444
CNAG_02398	5.733	1.246	0.217
CNAG_02399	132.114	176.432	1.335
CNAG_02400	121.285	166.186	1.37
CNAG_02401	25.227	16.891	0.67
CNAG_02402	6.477	6.12	0.945
CNAG_02403	435.032	504.839	1.16
CNAG_02404	222.974	299.458	1.343
CNAG_02405	3.601	0.98	0.272
CNAG_02406	26.241	12.876	0.491
CNAG_02407	17.625	14.178	0.804
CNAG_02408	13.045	13.052	1.001
CNAG_02409	21.206	11.064	0.522
CNAG_02412	231.446	119.942	0.518
CNAG_02413	36.405	13.555	0.372
CNAG_02414	28.13	51.585	1.834
CNAG_02415	30.948	48.169	1.556
CNAG_02416	426.614	541.616	1.27
CNAG_02417	2.616	1.518	0.58
CNAG_02418	224.266	434.858	1.939
CNAG_02419	13.028	9.876	0.758
CNAG_02420	0.468	0.076	0.161
CNAG_02421	113.378	260.846	2.301
CNAG_02422	68.207	62.697	0.919
CNAG_02423	12.774	27.29	2.136
CNAG_02424	20.442	6.884	0.337
CNAG_02425	14.599	10.01	0.686
CNAG_02426	37.518	77.973	2.078
CNAG_02427	19.864	8.452	0.426
CNAG_02428	37.833	23.381	0.618
CNAG_02430	1.246	0.14	0.112
CNAG_02431	40.924	20.512	0.501
CNAG_02432	7.181	11.945	1.663
CNAG_02433	38.939	6.784	0.174
CNAG_02434	132.462	199.326	1.505
CNAG_02435	86.107	20.207	0.235
CNAG_02436	25.885	9.128	0.353
CNAG_02437	43.907	68.78	1.566
CNAG_02438	4.959	1.934	0.39
CNAG_02439	13.959	6.777	0.485
CNAG_02440	84.91	64.52	0.76
CNAG_02441	0.555	0.108	0.195
CNAG_02442	46.991	43.135	0.918
CNAG_02443	770.602	769.849	0.999
CNAG_02444	13.912	8.989	0.646
CNAG_02445	38.967	51.463	1.321
CNAG_02446	8.831	9.897	1.121
CNAG_02447	60.234	24.804	0.412
CNAG_02448	9.389	0.051	0.005
CNAG_02449	30.37	27.648	0.91
CNAG_02452	7.416	2.779	0.375
CNAG_02453	11.856	9.157	0.772
CNAG_02454	24.853	27.896	1.122
CNAG_02455	196.325	253.66	1.292
CNAG_02457	43.967	88.27	2.008
CNAG_02458	13.634	26.362	1.934
CNAG_02459	29.428	23.831	0.81
CNAG_02460	24.741	39.739	1.606
CNAG_02463	4.713	0.7	0.149
CNAG_02464	1.823	0.248	0.136
CNAG_02465	6.204	0.199	0.032
CNAG_02466	8.34	4.148	0.497
CNAG_02467	29.744	29.451	0.99
CNAG_02468	21.292	15.603	0.733
CNAG_02469	55.869	25.924	0.464
CNAG_02470	12.808	7.432	0.58
CNAG_02471	36.331	43.745	1.204
CNAG_02472	34.551	39.014	1.129
CNAG_02473	24.878	22.762	0.915
CNAG_02475	6.816	2.338	0.343
CNAG_02476	1.832	1.29	0.704
CNAG_02477	23.893	2.635	0.11
CNAG_02478	14.835	9.177	0.619
CNAG_02479	1.394	0.961	0.69
CNAG_02480	21.268	6.916	0.325
CNAG_02481	63.235	14.586	0.231
CNAG_02482	85.565	159.885	1.869
CNAG_02483	1.425	0.392	0.275
CNAG_02484	1.764	0.24	0.136
CNAG_02485	724.508	1339.716	1.849
CNAG_02486	186.121	448.957	2.412
CNAG_02487	27.736	32.268	1.163
CNAG_02488	6.15	0.299	0.049
CNAG_02489	0.138	0.596	4.331
CNAG_02490	11.744	13.586	1.157
CNAG_02491	56.395	28.871	0.512
CNAG_02492	79.049	66.938	0.847
CNAG_02493	21.496	7.879	0.367
CNAG_02494	24.56	15.556	0.633
CNAG_02495	76.04	32.208	0.424
CNAG_02496	145.744	102.188	0.701
CNAG_02497	0.744	0.214	0.288
CNAG_02498	30.76	19.026	0.619
CNAG_02499	0.115	0.077	0.672
CNAG_02500	178.617	346.687	1.941
CNAG_02501	62.718	89.431	1.426
CNAG_02502	84.435	138.152	1.636
CNAG_02503	183.952	196.532	1.068
CNAG_02504	31.444	9.499	0.302
CNAG_02505	7.597	4.549	0.599
CNAG_02506	57.37	73.49	1.281
CNAG_02507	156.643	310.633	1.983
CNAG_02508	79.316	90.605	1.142
CNAG_02509	0.515	0.214	0.416
CNAG_02510	21.969	23.707	1.079
CNAG_02511	17.343	17.798	1.026
CNAG_02512	13.002	9.196	0.707
CNAG_02514	10.779	4.06	0.377
CNAG_02515	17.322	7.843	0.453
CNAG_02516	4.195	0.129	0.031
CNAG_02517	4.272	0.064	0.015
CNAG_02519	159.551	164.207	1.029
CNAG_02520	25.884	55.136	2.13
CNAG_02521	0.054	0.087	1.607
CNAG_02522	74.667	51.138	0.685
CNAG_02523	2.695	0.979	0.363
CNAG_02524	2.67	1.075	0.403
CNAG_02525	0.429	0.124	0.29
CNAG_02526	0.146	0.338	2.313
CNAG_02527	11.872	8.527	0.718
CNAG_02528	8.965	4.067	0.454
CNAG_02529	170.934	169.295	0.99
CNAG_02530	52.174	60.813	1.166
CNAG_02531	3.491	0.218	0.062
CNAG_02532	49.283	21.08	0.428
CNAG_02533	13.72	9.013	0.657
